idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
20,1,2,1.0,-0.4,-0.4,0.0,74,74,74,74
21,1,4,1.875,-0.353927,-0.353927,0.0,169,169,169,169
18,1,2,1.5,-0.374194,-0.374194,0.0,58,58,58,58
19,1,2,1.75,-0.383673,-0.359184,0.02449,94,88,94,88
16,1,2,2.25,-0.374566,-0.337572,0.036994,162,146,162,146
17,1,2,2.0,-0.35,-0.35,0.0,126,126,126,126
6,1,4,1.875,-0.328972,-0.327726,0.001246,264,263,264,263
7,1,2,2.0,-0.347253,-0.347253,0.0,79,79,79,79
26,1,3,1.5,-0.384211,-0.384211,0.0,219,219,219,219
27,1,2,2.25,-0.352096,-0.244311,0.107784,147,102,147,102
30,1,3,1.667,-0.398611,-0.340278,0.058333,287,245,287,245
31,1,6,1.0,-0.123298,-0.123298,0.0,382,382,231,231
40,1,3,1.5,-0.274654,-0.267281,0.007373,149,145,149,145
41,1,2,1.75,-0.254545,-0.254545,0.0,42,42,42,42
4,1,3,1.333,-0.340606,-0.340606,0.0,151,151,145,145
5,1,3,2.0,-0.36646,-0.36646,0.0,295,295,295,295
36,1,4,1.625,-0.373663,-0.373663,0.0,227,227,227,227
37,1,6,1.5,-0.363039,-0.347433,0.015606,442,423,442,423
0,1,4,1.5,-0.362869,-0.362869,0.0,215,215,215,215
1,1,4,1.75,-0.378182,-0.313247,0.064935,364,305,364,303
14,1,4,2.375,-0.361404,-0.27218,0.089223,364,275,362,273
15,1,6,2.083,-0.360993,-0.321986,0.039007,509,454,509,454
46,1,2,2.5,-0.378626,-0.247328,0.131298,124,81,124,81
47,1,6,1.0,-0.264912,-0.264912,0.0,342,342,276,276
12,1,6,3.0,-0.378667,-0.296889,0.081778,852,668,852,668
13,1,4,1.5,-0.35748,-0.355906,0.001575,227,226,227,226
24,1,3,1.833,-0.386885,-0.288525,0.098361,354,264,354,264
25,1,6,1.5,-0.342515,-0.340918,0.001597,429,427,429,427
42,1,3,2.333,-0.393456,-0.365644,0.027812,481,447,481,447
43,1,4,1.375,-0.353937,-0.353937,0.0,237,237,230,230
44,1,3,1.0,-0.4,-0.4,0.0,159,159,159,159
45,1,6,1.833,-0.391862,-0.327387,0.064476,626,523,626,523
28,1,2,1.0,-0.4,-0.4,0.0,50,50,50,50
29,1,6,3.0,-0.383693,-0.267986,0.115707,800,592,800,573
8,1,6,3.0,-0.361353,-0.306763,0.054589,748,635,748,635
9,1,2,1.0,-0.4,-0.4,0.0,51,51,51,51
34,1,4,1.375,-0.366071,-0.366071,0.0,205,205,205,205
35,1,3,2.5,-0.359506,-0.258765,0.100741,364,262,364,262
56,1,3,2.167,-0.348822,-0.344781,0.00404,259,256,259,256
57,1,2,3.0,-0.373333,-0.366667,0.006667,168,165,168,165
22,1,6,1.917,-0.379732,-0.307154,0.072578,651,552,643,531
23,1,6,2.0,-0.37208,-0.309544,0.062536,653,601,653,568
64,1,6,2.083,-0.332383,-0.140122,0.192261,429,291,417,223
65,1,2,1.0,-0.4,-0.4,0.0,65,65,65,65
38,1,3,1.667,-0.37686,-0.37686,0.0,228,228,228,228
39,1,4,2.125,-0.371667,-0.365,0.006667,446,438,446,438
68,1,2,1.5,-0.263918,-0.263918,0.0,64,64,64,64
69,1,4,1.25,-0.391803,-0.391803,0.0,239,239,239,239
70,1,4,1.0,-0.372414,-0.372414,0.0,203,203,195,195
71,1,4,1.0,-0.4,-0.4,0.0,186,186,186,186
10,1,6,1.583,-0.392846,-0.272358,0.120488,604,452,604,433
11,1,6,1.667,-0.385164,-0.333096,0.052068,675,596,675,589
54,1,2,1.5,-0.364045,-0.364045,0.0,81,81,81,81
