idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
22,1,2,1.5,-0.365517,-0.34023,0.025287,159,148,159,148
23,1,2,1.5,-0.4,-0.4,0.0,195,195,195,195
8,1,4,1.625,-0.38011,-0.261878,0.118232,516,422,516,384
9,1,2,2.0,-0.398456,-0.32278,0.075676,258,209,258,209
2,1,4,1.75,-0.373057,-0.260104,0.112953,540,464,540,414
3,1,2,2.5,-0.4,-0.30678,0.09322,236,181,236,181
12,1,2,1.75,-0.341201,-0.291511,0.049689,412,352,412,352
13,1,3,2.333,-0.380977,-0.172365,0.208612,741,533,741,420
16,1,2,2.0,-0.366092,-0.318391,0.047701,336,277,326,277
17,1,3,1.5,-0.377732,-0.367835,0.009897,458,446,458,446
4,1,2,1.5,-0.399175,-0.323299,0.075876,484,392,484,392
5,1,2,2.0,-0.384553,-0.35122,0.033333,473,467,473,447
34,1,3,1.0,0.025424,0.025424,0.0,413,413,162,162
35,1,3,2.333,-0.362679,-0.284211,0.078469,379,318,379,306
0,1,4,1.875,-0.391214,-0.29677,0.094444,757,632,757,599
1,1,2,2.0,-0.4,-0.34653,0.05347,389,337,389,337
6,1,4,1.625,-0.35,-0.204798,0.145202,693,563,693,473
7,1,2,1.5,-0.346863,-0.255535,0.091328,470,383,470,362
10,1,2,1.0,-0.4,-0.4,0.0,296,296,296,296
11,1,4,2.0,-0.358912,-0.196451,0.162461,1150,698,1143,655
14,1,3,1.167,-0.398953,-0.376702,0.022251,381,379,381,368
15,1,4,2.0,-0.390209,-0.212149,0.17806,1076,767,1076,663
20,1,4,1.625,-0.263876,-0.252408,0.011468,787,762,666,641
21,1,4,1.5,-0.306907,-0.279279,0.027628,511,465,511,465
26,1,4,1.625,-0.26627,-0.131151,0.135119,727,712,695,494
27,1,4,2.5,-0.378168,-0.252827,0.125341,513,382,497,349
46,1,3,1.167,-0.4,-0.379009,0.020991,343,332,343,328
47,1,4,1.0,-0.127383,-0.127383,0.0,493,493,301,301
30,1,2,3.0,-0.388623,-0.307186,0.081437,649,513,649,513
31,1,3,1.5,-0.376019,-0.302158,0.073861,392,315,392,315
48,1,3,1.0,-0.077288,-0.077288,0.0,295,295,159,159
