idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
22,1,2,1.5,-0.365517,-0.344828,0.02069,159,150,159,150
23,1,2,1.5,-0.4,-0.4,0.0,195,195,195,195
8,1,4,1.625,-0.38011,-0.353223,0.026888,516,483,516,481
9,1,2,2.0,-0.398456,-0.32278,0.075676,258,209,258,209
2,1,4,1.75,-0.373057,-0.260104,0.112953,540,464,540,414
3,1,2,2.5,-0.4,-0.30339,0.09661,236,179,236,179
12,1,2,1.75,-0.341201,-0.276605,0.064596,412,334,412,334
13,1,3,2.333,-0.380977,-0.242674,0.138303,741,591,741,523
16,1,2,2.0,-0.366092,-0.303448,0.062644,336,264,326,264
17,1,3,1.5,-0.377732,-0.274639,0.103093,458,333,458,333
4,1,2,1.5,-0.399175,-0.324124,0.075052,484,393,484,393
5,1,2,2.0,-0.384553,-0.327642,0.056911,473,403,473,403
34,1,3,1.0,0.025424,0.025424,0.0,413,413,162,162
35,1,3,2.333,-0.362679,-0.280383,0.082297,379,293,379,293
0,1,4,1.875,-0.391214,-0.347287,0.043928,757,672,757,672
1,1,2,2.0,-0.4,-0.315681,0.084319,389,307,389,307
6,1,4,1.625,-0.35,-0.244192,0.105808,693,606,693,536
7,1,2,1.5,-0.346863,-0.16845,0.178413,470,377,470,292
10,1,2,1.0,-0.4,-0.4,0.0,296,296,296,296
11,1,4,2.0,-0.358912,-0.251577,0.107334,1150,1004,1143,886
14,1,3,1.167,-0.398953,-0.382199,0.016754,381,379,381,371
15,1,4,2.0,-0.390209,-0.23427,0.155938,1076,828,1076,724
20,1,4,1.625,-0.263876,-0.112959,0.150917,787,577,666,388
21,1,4,1.5,-0.306907,-0.272523,0.034384,511,459,511,456
26,1,4,1.625,-0.26627,-0.14127,0.125,727,706,695,506
27,1,4,2.5,-0.378168,-0.275439,0.102729,513,411,497,378
46,1,3,1.167,-0.4,-0.379009,0.020991,343,332,343,328
47,1,4,1.0,-0.127383,-0.127383,0.0,493,493,301,301
30,1,2,3.0,-0.388623,-0.360479,0.028144,649,602,649,602
31,1,3,1.5,-0.376019,-0.30024,0.075779,392,313,392,313
48,1,3,1.0,-0.077288,-0.077288,0.0,295,295,159,159
49,1,4,1.375,-0.377919,-0.370276,0.007643,445,436,445,436
28,1,3,1.833,-0.4,-0.242784,0.157216,783,484,783,479
29,1,3,1.667,-0.349114,-0.288567,0.060548,542,504,542,472
18,1,4,2.0,-0.363717,-0.326659,0.037058,822,775,822,754
19,1,4,2.0,-0.375393,-0.281152,0.094241,717,537,717,537
50,1,3,1.5,-0.27486,-0.252514,0.022346,158,148,138,128
51,1,2,1.25,-0.4,-0.320611,0.079389,393,315,393,315
36,1,4,1.625,-0.366741,-0.245122,0.121619,827,600,827,573
37,1,2,3.0,-0.397895,-0.248421,0.149474,567,354,567,354
32,1,4,2.75,-0.370507,-0.281567,0.08894,804,611,804,611
33,1,3,1.5,-0.357068,-0.348168,0.008901,682,665,682,665
44,1,3,1.5,-0.396721,-0.341639,0.055082,605,521,605,521
45,1,2,1.5,-0.398956,-0.161619,0.237337,382,293,382,214
66,1,3,1.5,-0.334972,-0.170132,0.164839,443,414,443,306
67,1,4,1.0,-0.29485,-0.29485,0.0,466,466,396,396
64,1,2,1.5,-0.393243,-0.328378,0.064865,291,243,291,243
65,1,4,1.625,-0.391304,-0.342236,0.049068,476,422,474,417
58,1,4,2.0,-0.392758,-0.324653,0.068105,646,588,641,553
59,1,2,1.75,-0.360129,-0.255949,0.10418,280,199,280,199
60,1,2,2.0,-0.4,-0.157895,0.242105,513,353,513,267
61,1,2,1.25,-0.4,-0.303571,0.096429,336,255,336,255
52,1,3,2.0,-0.338798,-0.296539,0.042259,465,407,465,407
53,1,3,2.167,-0.382609,-0.276973,0.105636,594,430,594,430
68,1,4,3.0,-0.395366,-0.260148,0.135218,1070,819,1068,752
69,1,2,2.0,-0.4,-0.096552,0.303448,116,56,116,40
84,1,2,2.0,-0.301724,-0.267241,0.034483,175,155,175,155
85,1,3,1.833,-0.363551,-0.231308,0.132243,198,143,196,132
38,1,2,2.25,-0.399269,-0.29543,0.103839,546,425,546,413
39,1,2,3.0,-0.392285,-0.340059,0.052226,661,573,661,573
42,1,2,2.5,-0.367109,-0.36817,-0.001061,346,347,346,347
43,1,4,3.0,-0.392941,-0.338353,0.054588,835,719,835,719
76,1,2,2.0,-0.360185,-0.025,0.335185,106,54,101,27
77,1,4,1.875,-0.395302,-0.26255,0.132752,738,531,737,507
54,1,2,1.75,-0.399136,-0.292009,0.107127,462,338,462,338
55,1,3,1.667,-0.4,-0.221143,0.178857,700,464,700,420
72,1,3,2.333,-0.396634,-0.207574,0.18906,707,566,707,454
73,1,2,2.5,-0.396349,-0.366734,0.029615,492,452,490,452
78,1,3,1.833,-0.398592,-0.376761,0.021831,566,556,566,544
79,1,4,1.625,-0.284663,-0.284663,0.0,274,274,250,250
40,1,2,1.5,-0.335246,-0.32459,0.010656,409,396,409,396
41,1,3,3.0,-0.398012,-0.321272,0.07674,1001,808,1001,808
92,1,4,1.375,-0.314511,-0.044795,0.269716,300,221,271,115
93,1,2,2.0,-0.379798,-0.244848,0.134949,470,303,470,303
80,1,2,1.5,-0.4,-0.306316,0.093684,380,291,380,291
81,1,2,2.0,-0.39881,-0.281548,0.117262,670,473,670,473
88,1,3,2.0,-0.389414,-0.295045,0.094369,441,345,436,335
89,1,4,1.75,-0.269476,-0.246241,0.023235,343,328,316,295
94,1,2,1.0,-0.4,-0.4,0.0,138,138,138,138
95,1,4,1.5,-0.341553,-0.326941,0.014612,561,537,561,537
74,1,3,1.667,-0.398997,-0.337845,0.061153,398,337,398,337
75,1,2,3.0,-0.39802,-0.312871,0.085149,603,474,603,474
70,1,3,2.0,-0.384227,-0.273966,0.11026,650,484,637,463
71,1,3,2.667,-0.392967,-0.354286,0.038681,894,806,894,806
82,1,2,1.0,-0.4,-0.4,0.0,267,267,267,267
83,1,4,2.0,-0.390274,-0.321479,0.068794,963,837,963,812
90,1,3,2.0,-0.375403,-0.270864,0.104539,641,494,641,476
91,1,2,1.5,-0.392139,-0.341499,0.05064,545,467,540,467
