idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
4,1,5,1.7,-0.373262,-0.238503,0.134759,349,230,349,226
5,1,5,1.5,-0.356812,-0.300257,0.056555,347,348,347,316
18,1,8,1.625,-0.386509,-0.352108,0.034401,573,529,573,525
19,1,5,2.1,-0.370431,-0.326899,0.043532,451,398,451,398
14,1,8,1.5,-0.331205,-0.287663,0.043541,609,555,587,521
15,1,5,2.1,-0.373968,-0.335238,0.03873,589,528,589,528
0,1,5,1.3,-0.361774,-0.299694,0.06208,301,301,298,269
1,1,8,2.0,-0.374749,-0.300377,0.074372,751,624,748,609
34,1,5,1.8,-0.384834,-0.344787,0.040047,406,369,406,366
35,1,5,1.5,-0.376897,-0.328276,0.048621,275,238,274,238
30,1,5,1.5,-0.377215,-0.377215,0.0,298,298,298,298
31,1,8,1.75,-0.384286,-0.347679,0.036607,538,513,538,498
12,1,5,3.0,-0.366214,-0.329713,0.036501,607,571,607,557
13,1,8,2.0,-0.334615,-0.292604,0.042012,569,526,567,508
8,1,5,2.0,-0.327197,-0.323849,0.003347,391,387,391,387
9,1,8,2.062,-0.346623,-0.298312,0.048312,669,632,668,599
28,1,8,2.0,-0.339408,-0.30262,0.036788,745,687,745,674
29,1,8,1.438,-0.366391,-0.29553,0.070861,590,483,569,462
36,1,5,1.6,-0.342453,-0.342453,0.0,274,274,273,273
37,1,5,2.2,-0.385892,-0.331328,0.054564,465,429,465,412
32,1,5,2.0,-0.38565,-0.3213,0.06435,430,374,430,365
33,1,8,2.0,-0.354651,-0.22936,0.125291,610,531,610,453
48,1,5,1.0,-0.2852,-0.2852,0.0,250,250,209,209
49,1,8,1.0,-0.38288,-0.38288,0.0,368,368,359,359
24,1,5,2.4,-0.37377,-0.298725,0.075046,513,431,513,419
25,1,5,2.0,-0.386693,-0.382779,0.003914,494,489,494,489
20,1,8,2.0,-0.354916,-0.266067,0.088849,740,616,740,581
21,1,5,1.5,-0.330029,-0.316035,0.013994,283,278,283,274
38,1,8,2.188,-0.381241,-0.362482,0.018759,664,642,662,634
39,1,8,1.5,-0.364045,-0.257785,0.10626,567,447,567,421
22,1,8,2.0,-0.373684,-0.268541,0.105144,781,584,781,571
23,1,5,1.7,-0.384186,-0.35814,0.026047,413,385,413,385
46,1,5,1.6,-0.382292,-0.270833,0.111458,367,260,367,260
47,1,5,2.4,-0.337008,-0.309711,0.027297,321,295,321,295
44,1,8,2.0,-0.361858,-0.31846,0.043399,740,674,740,661
45,1,5,1.0,-0.27243,-0.27243,0.0,214,214,175,175
26,1,8,1.812,-0.368263,-0.290971,0.077291,673,572,673,549
27,1,8,1.938,-0.362347,-0.305623,0.056724,762,751,750,679
50,1,5,1.5,-0.362438,-0.243781,0.118657,373,266,368,254
51,1,8,1.5,-0.31824,-0.3,0.01824,506,488,501,477
6,1,8,2.0,-0.372308,-0.292051,0.080256,1089,989,1089,912
7,1,5,1.8,-0.37377,-0.316393,0.057377,399,343,399,340
