idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
4,1,5,1.7,-0.373262,-0.250267,0.122995,349,241,349,237
5,1,5,1.5,-0.356812,-0.344473,0.012339,347,335,347,335
18,1,8,1.625,-0.386509,-0.355481,0.031029,573,534,573,530
19,1,5,2.1,-0.370431,-0.352567,0.017864,451,445,451,436
14,1,8,1.5,-0.331205,-0.319013,0.012192,609,588,587,566
15,1,5,2.1,-0.373968,-0.285079,0.088889,589,449,589,449
0,1,5,1.3,-0.361774,-0.332722,0.029052,301,286,298,278
1,1,8,2.0,-0.374749,-0.298367,0.076382,751,641,748,614
34,1,5,1.8,-0.384834,-0.356398,0.028436,406,376,406,376
35,1,5,1.5,-0.376897,-0.362759,0.014138,275,263,274,263
30,1,5,1.5,-0.377215,-0.377215,0.0,298,298,298,298
31,1,8,1.75,-0.384286,-0.376786,0.0075,538,531,538,529
12,1,5,3.0,-0.366214,-0.362594,0.00362,607,601,607,601
13,1,8,2.0,-0.334615,-0.204882,0.129734,569,425,567,380
8,1,5,2.0,-0.327197,-0.327197,0.0,391,391,391,391
9,1,8,2.062,-0.346623,-0.286234,0.06039,669,551,668,551
28,1,8,2.0,-0.339408,-0.287927,0.051481,745,632,745,632
29,1,8,1.438,-0.366391,-0.357119,0.009272,590,576,569,555
36,1,5,1.6,-0.342453,-0.335849,0.006604,274,274,273,270
37,1,5,2.2,-0.385892,-0.291494,0.094398,465,402,465,373
32,1,5,2.0,-0.38565,-0.313229,0.072422,430,393,430,368
33,1,8,2.0,-0.354651,-0.30407,0.050581,610,544,610,532
48,1,5,1.0,-0.2852,-0.2852,0.0,250,250,209,209
49,1,8,1.0,-0.38288,-0.38288,0.0,368,368,359,359
24,1,5,2.4,-0.37377,-0.290893,0.082878,513,415,513,406
25,1,5,2.0,-0.386693,-0.318591,0.068102,494,407,494,407
20,1,8,2.0,-0.354916,-0.293285,0.061631,740,629,740,619
21,1,5,1.5,-0.330029,-0.330029,0.0,283,283,283,283
38,1,8,2.188,-0.381241,-0.34026,0.040981,664,593,662,591
39,1,8,1.5,-0.364045,-0.276886,0.087159,567,475,567,450
22,1,8,2.0,-0.373684,-0.257416,0.116268,781,538,781,538
23,1,5,1.7,-0.384186,-0.370233,0.013953,413,398,413,398
46,1,5,1.6,-0.382292,-0.270312,0.111979,367,270,367,264
47,1,5,2.4,-0.337008,-0.312861,0.024147,321,298,321,298
44,1,8,2.0,-0.361858,-0.305501,0.056357,740,637,740,630
45,1,5,1.0,-0.27243,-0.27243,0.0,214,214,175,175
26,1,8,1.812,-0.368263,-0.273871,0.094391,673,574,673,532
27,1,8,1.938,-0.362347,-0.213203,0.149144,762,485,750,457
50,1,5,1.5,-0.362438,-0.314428,0.04801,373,337,368,325
51,1,8,1.5,-0.31824,-0.28608,0.03216,506,510,501,474
6,1,8,2.0,-0.372308,-0.315641,0.056667,1089,939,1089,930
7,1,5,1.8,-0.37377,-0.324356,0.049415,399,369,399,356
10,1,8,1.688,-0.361538,-0.324159,0.03738,780,739,764,702
11,1,8,2.0,-0.361825,-0.285733,0.076093,716,596,709,573
40,1,8,2.0,-0.3568,-0.305067,0.051733,676,621,672,593
41,1,5,1.9,-0.372387,-0.372387,0.0,479,479,475,475
52,1,5,2.0,-0.383015,-0.377282,0.005732,451,453,451,448
53,1,5,1.5,-0.337079,-0.337079,0.0,253,253,237,237
62,1,8,1.625,-0.157234,-0.157234,0.0,358,358,259,259
63,1,8,1.5,-0.346505,-0.296353,0.050152,570,540,570,510
58,1,8,1.625,-0.341667,-0.304487,0.037179,547,503,539,487
59,1,8,2.062,-0.3749,-0.269025,0.105874,709,509,705,506
56,1,5,1.9,-0.383439,-0.274204,0.109236,602,434,602,432
57,1,5,2.0,-0.365354,-0.337008,0.028346,348,321,348,321
54,1,5,3.0,-0.347945,-0.306545,0.0414,575,507,573,505
55,1,8,1.5,-0.372112,-0.349801,0.022311,467,439,467,439
84,1,5,1.6,-0.373016,-0.373016,0.0,242,242,238,238
85,1,8,1.5,-0.293878,-0.259694,0.034184,439,436,435,405
72,1,5,2.0,-0.39093,-0.382993,0.007937,431,431,431,426
73,1,8,2.0,-0.390217,-0.355435,0.034783,718,654,718,654
42,1,8,2.5,-0.363676,-0.254595,0.109081,841,594,841,591
43,1,8,2.312,-0.362887,-0.309407,0.053479,704,651,704,622
74,1,8,1.0,-0.224538,-0.224538,0.0,379,379,284,284
75,1,8,2.0,-0.361719,-0.218527,0.143192,826,661,817,563
80,1,8,1.875,-0.358368,-0.292405,0.065963,637,539,637,528
81,1,8,1.562,-0.353036,-0.322874,0.030162,457,439,445,416
2,1,8,3.0,-0.37995,-0.288471,0.091479,1137,907,1137,882
3,1,8,2.125,-0.352744,-0.335722,0.017021,812,774,798,760
88,1,5,1.9,-0.311745,-0.311745,0.0,248,248,239,239
89,1,8,1.5,-0.301096,-0.261184,0.039912,366,394,353,339
68,1,8,2.062,-0.359844,-0.248053,0.111791,814,764,811,646
69,1,5,1.7,-0.33301,-0.286893,0.046117,343,306,343,300
16,1,8,1.75,-0.37738,-0.304031,0.073348,846,705,844,690
17,1,8,2.062,-0.386892,-0.336048,0.050844,974,846,974,846
96,1,8,1.0,-0.355319,-0.323877,0.031442,423,423,396,377
