idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
24,1,4,1.25,-0.364246,-0.319553,0.044693,163,143,163,143
25,1,2,1.25,-0.36044,-0.285714,0.074725,82,72,82,68
10,1,4,1.25,-0.377544,-0.318596,0.058947,269,227,269,227
11,1,2,1.25,-0.390909,-0.318182,0.072727,86,70,86,70
2,1,6,1.25,-0.368831,-0.315325,0.053506,355,307,355,305
3,1,2,1.25,-0.31875,-0.31875,0.0,51,51,51,51
4,1,3,1.25,-0.368302,-0.363774,0.004528,244,241,244,241
5,1,2,1.75,-0.355932,-0.305085,0.050847,105,90,105,90
16,1,2,1.25,-0.373333,-0.325333,0.048,70,61,70,61
17,1,3,1.75,-0.375074,-0.282493,0.092582,316,238,316,238
26,1,4,1.75,-0.334925,-0.247761,0.087164,291,218,285,212
27,1,2,1.25,-0.336842,-0.321805,0.015038,112,107,112,107
18,1,3,1.75,-0.369455,-0.274909,0.094545,254,189,254,189
19,1,3,1.25,-0.352838,-0.321397,0.031441,202,184,202,184
20,1,6,1.75,-0.380732,-0.328324,0.052408,494,426,494,426
21,1,4,1.75,-0.353425,-0.332877,0.020548,258,243,258,243
6,1,6,1.25,-0.348087,-0.306557,0.04153,343,305,329,291
7,1,4,1.75,-0.340803,-0.331438,0.009365,267,260,260,253
22,1,3,1.75,-0.3575,-0.30125,0.05625,286,241,286,241
23,1,4,1.75,-0.371429,-0.243168,0.128261,299,236,299,213
14,1,2,1.75,-0.340909,-0.295455,0.045455,75,65,75,65
15,1,4,1.75,-0.357835,-0.341311,0.016524,314,303,314,301
32,1,2,1.75,-0.384906,-0.377358,0.007547,102,100,102,100
33,1,3,1.75,-0.381356,-0.305085,0.076271,225,180,225,180
40,1,3,1.25,-0.375709,-0.327126,0.048583,232,202,232,202
41,1,4,1.25,-0.340458,-0.334351,0.006107,223,219,223,219
34,1,6,1.25,-0.362136,-0.309951,0.052184,373,328,373,323
35,1,3,1.25,-0.368085,-0.323404,0.044681,173,152,173,152
38,1,2,1.25,-0.352239,-0.328358,0.023881,59,55,59,55
39,1,6,1.25,-0.371171,-0.293919,0.077252,412,356,412,339
36,1,3,1.75,-0.390572,-0.383838,0.006734,290,285,290,285
37,1,4,1.25,-0.339749,-0.317992,0.021757,203,190,203,190
54,1,2,1.25,-0.353571,-0.317857,0.035714,99,89,99,89
55,1,4,1.25,-0.357895,-0.325506,0.032389,221,201,221,201
30,1,6,1.25,-0.389165,-0.312415,0.076749,431,353,431,349
31,1,4,1.75,-0.379933,-0.30903,0.070903,284,231,284,231
28,1,4,1.75,-0.364516,-0.271848,0.092669,316,237,313,234
29,1,3,1.75,-0.379355,-0.267097,0.112258,294,207,294,207
42,1,3,1.25,-0.397143,-0.318571,0.078571,278,223,278,223
43,1,2,1.25,-0.357576,-0.315152,0.042424,59,52,59,52
52,1,6,1.25,-0.341176,-0.296569,0.044608,355,348,351,322
53,1,3,1.25,-0.369811,-0.318868,0.050943,196,169,196,169
62,1,6,1.25,-0.354377,-0.318302,0.036074,334,300,334,300
63,1,4,1.25,-0.27126,-0.27126,0.0,216,216,191,191
66,1,3,1.75,-0.354751,-0.300452,0.054299,196,166,196,166
67,1,2,1.25,-0.317073,-0.317073,0.0,65,65,65,65
0,1,4,1.75,-0.394444,-0.275926,0.118519,426,298,426,298
1,1,6,1.25,-0.341584,-0.229455,0.112129,345,342,345,279
64,1,3,1.75,-0.356204,-0.286131,0.070073,244,196,244,196
65,1,2,1.75,-0.353846,-0.261538,0.092308,92,68,92,68
44,1,6,1.25,-0.343968,-0.281233,0.062735,340,299,329,278
45,1,4,1.75,-0.37193,-0.300292,0.071637,318,269,318,262
48,1,4,1.75,-0.384566,-0.334084,0.050482,299,265,299,262
49,1,2,1.75,-0.35,-0.225,0.125,70,45,70,45
