idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
24,1,4,1.25,-0.364246,-0.326257,0.037989,163,146,163,146
25,1,2,1.25,-0.36044,-0.356044,0.004396,82,81,82,81
10,1,4,1.25,-0.377544,-0.318596,0.058947,269,227,269,227
11,1,2,1.25,-0.390909,-0.359091,0.031818,86,79,86,79
2,1,6,1.25,-0.368831,-0.336104,0.032727,355,327,355,325
3,1,2,1.25,-0.31875,-0.31875,0.0,51,51,51,51
4,1,3,1.25,-0.368302,-0.329057,0.039245,244,218,244,218
5,1,2,1.75,-0.355932,-0.288136,0.067797,105,85,105,85
16,1,2,1.25,-0.373333,-0.373333,0.0,70,70,70,70
17,1,3,1.75,-0.375074,-0.243323,0.131751,316,205,316,205
26,1,4,1.75,-0.334925,-0.248955,0.08597,291,219,285,213
27,1,2,1.25,-0.336842,-0.321805,0.015038,112,107,112,107
18,1,3,1.75,-0.369455,-0.270545,0.098909,254,186,254,186
19,1,3,1.25,-0.352838,-0.317904,0.034934,202,182,202,182
20,1,6,1.75,-0.380732,-0.340655,0.040077,494,442,494,442
21,1,4,1.75,-0.353425,-0.293151,0.060274,258,214,258,214
6,1,6,1.25,-0.348087,-0.306557,0.04153,343,305,329,291
7,1,4,1.75,-0.340803,-0.295318,0.045485,267,233,260,226
22,1,3,1.75,-0.3575,-0.2475,0.11,286,198,286,198
23,1,4,1.75,-0.371429,-0.232298,0.13913,299,187,299,187
14,1,2,1.75,-0.340909,-0.295455,0.045455,75,65,75,65
15,1,4,1.75,-0.357835,-0.331624,0.026211,314,291,314,291
32,1,2,1.75,-0.384906,-0.377358,0.007547,102,100,102,100
33,1,3,1.75,-0.381356,-0.281356,0.1,225,166,225,166
40,1,3,1.25,-0.375709,-0.327126,0.048583,232,202,232,202
41,1,4,1.25,-0.340458,-0.317557,0.022901,223,208,223,208
34,1,6,1.25,-0.362136,-0.309951,0.052184,373,328,373,323
35,1,3,1.25,-0.368085,-0.321277,0.046809,173,151,173,151
38,1,2,1.25,-0.352239,-0.328358,0.023881,59,55,59,55
39,1,6,1.25,-0.371171,-0.297523,0.073649,412,360,412,343
36,1,3,1.75,-0.390572,-0.259933,0.13064,290,221,290,205
37,1,4,1.25,-0.339749,-0.317992,0.021757,203,190,203,190
54,1,2,1.25,-0.353571,-0.317857,0.035714,99,89,99,89
55,1,4,1.25,-0.357895,-0.317409,0.040486,221,196,221,196
30,1,6,1.25,-0.389165,-0.312415,0.076749,431,353,431,349
31,1,4,1.75,-0.379933,-0.310368,0.069565,284,232,284,232
28,1,4,1.75,-0.364516,-0.256598,0.107918,316,224,313,221
29,1,3,1.75,-0.379355,-0.277419,0.101935,294,215,294,215
42,1,3,1.25,-0.397143,-0.375714,0.021429,278,263,278,263
43,1,2,1.25,-0.357576,-0.315152,0.042424,59,52,59,52
52,1,6,1.25,-0.341176,-0.252206,0.088971,355,329,351,288
53,1,3,1.25,-0.369811,-0.318868,0.050943,196,169,196,169
62,1,6,1.25,-0.354377,-0.318302,0.036074,334,300,334,300
63,1,4,1.25,-0.27126,-0.187008,0.084252,216,201,191,154
66,1,3,1.75,-0.354751,-0.284163,0.070588,196,157,196,157
67,1,2,1.25,-0.317073,-0.317073,0.0,65,65,65,65
0,1,4,1.75,-0.394444,-0.350463,0.043981,426,382,426,380
1,1,6,1.25,-0.341584,-0.229455,0.112129,345,342,345,279
64,1,3,1.75,-0.356204,-0.310949,0.045255,244,213,244,213
65,1,2,1.75,-0.353846,-0.261538,0.092308,92,68,92,68
44,1,6,1.25,-0.343968,-0.281233,0.062735,340,299,329,278
45,1,4,1.75,-0.37193,-0.279532,0.092398,318,239,318,239
48,1,4,1.75,-0.384566,-0.349518,0.035048,299,277,299,274
49,1,2,1.75,-0.35,-0.225,0.125,70,45,70,45
46,1,2,1.75,-0.35,-0.230769,0.119231,91,60,91,60
47,1,4,1.75,-0.378592,-0.326761,0.051831,336,290,336,290
50,1,4,1.75,-0.375758,-0.296296,0.079461,279,220,279,220
51,1,3,1.75,-0.353968,-0.280952,0.073016,223,177,223,177
56,1,4,1.25,-0.373158,-0.358421,0.014737,179,172,178,171
57,1,4,1.25,-0.384466,-0.318447,0.066019,297,246,297,246
12,1,6,1.75,-0.379173,-0.311179,0.067994,619,508,619,508
13,1,4,1.75,-0.357784,-0.260686,0.097098,339,247,339,247
8,1,6,1.75,-0.369559,-0.310198,0.059361,607,513,607,511
9,1,6,1.75,-0.363065,-0.306287,0.056778,469,423,465,404
68,1,2,1.25,-0.359494,-0.359494,0.0,71,71,71,71
69,1,4,1.75,-0.381935,-0.283871,0.098065,296,220,296,220
58,1,6,1.25,-0.386014,-0.341958,0.044056,552,531,552,507
59,1,4,1.25,-0.361161,-0.302232,0.058929,211,178,206,173
72,1,4,1.25,-0.380882,-0.317647,0.063235,259,216,259,216
73,1,6,1.75,-0.368701,-0.288386,0.080315,470,403,469,382
76,1,4,1.25,-0.341429,-0.324286,0.017143,239,227,239,227
77,1,2,1.75,-0.374803,-0.085827,0.288976,119,113,119,64
84,1,4,1.75,-0.381707,-0.253659,0.128049,313,208,313,208
85,1,2,1.75,-0.227273,-0.227273,0.0,50,50,50,50
70,1,6,1.25,-0.382609,-0.31087,0.071739,396,334,396,327
71,1,4,1.25,-0.357432,-0.324324,0.033108,268,240,266,240
94,1,2,1.75,-0.328276,-0.234483,0.093793,119,85,119,85
95,1,3,1.25,-0.361702,-0.267021,0.094681,170,150,170,136
102,1,2,1.25,-0.314754,-0.314754,0.0,48,48,48,48
103,1,4,1.25,-0.33615,-0.326761,0.00939,179,174,179,174
92,1,2,1.75,-0.334884,-0.262791,0.072093,144,113,144,113
93,1,2,1.75,-0.390588,-0.287059,0.103529,166,122,166,122
