idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
16,1,2,4.0,-0.369231,-0.278846,0.090385,192,145,192,145
17,1,2,4.0,-0.398592,-0.301408,0.097183,283,214,283,214
28,1,2,4.0,-0.382432,-0.274324,0.108108,283,203,283,203
29,1,2,4.0,-0.393651,-0.236508,0.157143,248,149,248,149
0,1,2,4.0,-0.4,-0.278261,0.121739,368,256,368,256
1,1,4,4.0,-0.352713,-0.276744,0.075969,455,357,455,357
4,1,2,4.0,-0.346269,-0.259701,0.086567,232,174,232,174
5,1,3,4.0,-0.384055,-0.293241,0.090815,554,423,554,423
2,1,3,4.0,-0.376119,-0.296716,0.079403,630,497,630,497
3,1,2,4.0,-0.395455,-0.233333,0.162121,261,154,261,154
10,1,4,4.0,-0.380625,-0.29125,0.089375,609,466,609,466
11,1,4,4.0,-0.378456,-0.268582,0.109874,527,374,527,374
24,1,6,4.0,-0.388718,-0.31094,0.077778,1137,941,1137,923
25,1,2,4.0,-0.397297,-0.278716,0.118581,294,208,294,207
36,1,2,4.0,-0.39697,-0.268939,0.12803,262,181,262,179
37,1,2,4.0,-0.317647,-0.233333,0.084314,162,119,162,119
14,1,2,4.0,-0.380769,-0.274359,0.10641,297,214,297,214
15,1,4,4.0,-0.38875,-0.270625,0.118125,622,433,622,433
12,1,6,4.0,-0.39662,-0.222877,0.173744,1153,769,1148,697
13,1,4,4.0,-0.378339,-0.308303,0.070036,524,427,524,427
18,1,3,4.0,-0.398639,-0.294728,0.103912,586,470,586,449
19,1,4,4.0,-0.381443,-0.310309,0.071134,740,602,740,602
22,1,2,4.0,-0.395588,-0.244118,0.151471,269,166,269,166
23,1,6,4.0,-0.377308,-0.288942,0.088365,981,753,981,752
20,1,6,4.0,-0.394346,-0.276252,0.118094,1224,862,1222,858
21,1,3,4.0,-0.392713,-0.352227,0.040486,485,435,485,435
6,1,4,4.0,-0.395467,-0.283286,0.112181,698,500,698,500
7,1,4,4.0,-0.381657,-0.227811,0.153846,645,385,645,385
8,1,3,4.0,-0.399413,-0.307195,0.092217,680,523,680,523
9,1,3,4.0,-0.391236,-0.316119,0.075117,625,505,625,505
26,1,6,4.0,-0.397684,-0.32713,0.070554,1202,1036,1202,1009
27,1,4,4.0,-0.349502,-0.23588,0.113621,526,355,526,355
42,1,4,4.0,-0.37673,-0.31195,0.06478,599,496,599,496
