idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
16,1,2,4.0,-0.369231,-0.278846,0.090385,192,145,192,145
17,1,2,4.0,-0.398592,-0.307042,0.091549,283,218,283,218
28,1,2,4.0,-0.382432,-0.241892,0.140541,283,179,283,179
29,1,2,4.0,-0.393651,-0.247619,0.146032,248,156,248,156
0,1,2,4.0,-0.4,-0.28587,0.11413,368,263,368,263
1,1,4,4.0,-0.352713,-0.26124,0.091473,455,337,455,337
4,1,2,4.0,-0.346269,-0.234328,0.11194,232,157,232,157
5,1,3,4.0,-0.384055,-0.364645,0.019411,554,526,554,526
2,1,3,4.0,-0.376119,-0.305075,0.071045,630,511,630,511
3,1,2,4.0,-0.395455,-0.224242,0.171212,261,148,261,148
10,1,4,4.0,-0.380625,-0.26,0.120625,609,416,609,416
11,1,4,4.0,-0.378456,-0.327469,0.050987,527,456,527,456
24,1,6,4.0,-0.388718,-0.272393,0.116325,1137,809,1137,802
25,1,2,4.0,-0.397297,-0.293581,0.103716,294,219,294,218
36,1,2,4.0,-0.39697,-0.30303,0.093939,262,200,262,200
37,1,2,4.0,-0.317647,-0.233333,0.084314,162,119,162,119
14,1,2,4.0,-0.380769,-0.274359,0.10641,297,214,297,214
15,1,4,4.0,-0.38875,-0.301875,0.086875,622,483,622,483
12,1,6,4.0,-0.39662,-0.263518,0.133102,1153,888,1148,815
13,1,4,4.0,-0.378339,-0.308303,0.070036,524,427,524,427
18,1,3,4.0,-0.398639,-0.30085,0.097789,586,479,586,458
19,1,4,4.0,-0.381443,-0.258247,0.123196,740,501,740,501
22,1,2,4.0,-0.395588,-0.244118,0.151471,269,166,269,166
23,1,6,4.0,-0.377308,-0.299712,0.077596,981,781,981,780
20,1,6,4.0,-0.394346,-0.272132,0.122213,1224,872,1222,855
21,1,3,4.0,-0.392713,-0.352227,0.040486,485,435,485,435
6,1,4,4.0,-0.395467,-0.312181,0.083286,698,551,698,551
7,1,4,4.0,-0.381657,-0.277515,0.104142,645,469,645,469
8,1,3,4.0,-0.399413,-0.300147,0.099266,680,511,680,511
9,1,3,4.0,-0.391236,-0.29734,0.093897,625,475,625,475
26,1,6,4.0,-0.397684,-0.247146,0.150538,1202,747,1202,747
27,1,4,4.0,-0.349502,-0.304319,0.045183,526,458,526,458
42,1,4,4.0,-0.37673,-0.316981,0.059748,599,504,599,504
43,1,2,4.0,-0.3125,-0.210417,0.102083,150,101,150,101
40,1,2,4.0,-0.334884,-0.267442,0.067442,288,230,288,230
41,1,2,4.0,-0.376712,-0.287671,0.089041,275,210,275,210
46,1,2,4.0,-0.388462,-0.236538,0.151923,202,123,202,123
47,1,4,4.0,-0.398015,-0.271836,0.126179,802,567,802,556
30,1,6,4.0,-0.373282,-0.261641,0.111641,978,724,978,702
31,1,3,4.0,-0.387629,-0.349926,0.037703,658,594,658,594
34,1,6,4.0,-0.38354,-0.31177,0.07177,1094,970,1088,919
35,1,2,4.0,-0.396296,-0.224074,0.172222,214,121,214,121
54,1,4,4.0,-0.397612,-0.318806,0.078806,666,534,666,534
55,1,4,4.0,-0.388732,-0.310915,0.077817,552,466,552,452
50,1,3,4.0,-0.366667,-0.336478,0.030189,583,535,583,535
51,1,3,4.0,-0.390476,-0.310623,0.079853,533,424,533,424
58,1,4,4.0,-0.385811,-0.206757,0.179054,571,306,571,306
59,1,4,4.0,-0.356997,-0.314505,0.042491,523,466,523,463
52,1,4,4.0,-0.39337,-0.30442,0.08895,712,551,712,551
53,1,4,4.0,-0.399448,-0.225967,0.173481,723,409,723,409
70,1,2,4.0,-0.4,-0.296429,0.103571,336,249,336,249
71,1,3,4.0,-0.392661,-0.278165,0.114495,535,379,535,379
48,1,3,4.0,-0.397163,-0.329078,0.068085,560,464,560,464
49,1,6,4.0,-0.39323,-0.277036,0.116194,1085,806,1079,778
32,1,4,4.0,-0.358259,-0.29929,0.05897,506,423,505,422
33,1,6,4.0,-0.397605,-0.25586,0.141745,1162,816,1162,777
62,1,2,4.0,-0.369388,-0.25102,0.118367,181,123,181,123
63,1,6,4.0,-0.396624,-0.252827,0.143797,1175,756,1175,752
38,1,6,4.0,-0.392415,-0.223825,0.16859,1190,705,1190,690
39,1,6,4.0,-0.384743,-0.26296,0.121783,1050,731,1048,722
68,1,6,4.0,-0.386622,-0.297074,0.089548,1156,904,1156,895
69,1,2,4.0,-0.386885,-0.321311,0.065574,236,196,236,196
78,1,2,4.0,-0.397802,-0.327473,0.07033,362,298,362,298
79,1,2,4.0,-0.383019,-0.232075,0.150943,203,123,203,123
72,1,3,4.0,-0.397959,-0.314286,0.083673,585,462,585,462
73,1,3,4.0,-0.382175,-0.28877,0.093405,536,405,536,405
44,1,2,4.0,-0.358333,-0.251389,0.106944,258,181,258,181
45,1,6,4.0,-0.378505,-0.216037,0.162469,1127,736,1127,683
76,1,3,4.0,-0.398904,-0.316712,0.082192,728,578,728,578
77,1,2,4.0,-0.323214,-0.239286,0.083929,181,134,181,134
56,1,6,4.0,-0.389984,-0.239499,0.150485,1207,743,1207,742
57,1,3,4.0,-0.386331,-0.258453,0.127878,537,410,537,381
66,1,3,4.0,-0.39562,-0.337226,0.058394,542,462,542,462
67,1,6,4.0,-0.384299,-0.232617,0.151682,1028,631,1028,626
80,1,3,4.0,-0.395527,-0.329712,0.065815,619,516,619,516
81,1,4,4.0,-0.393464,-0.3,0.093464,602,459,602,459
90,1,3,4.0,-0.385987,-0.297452,0.088535,606,467,606,467
91,1,2,4.0,-0.4,-0.244444,0.155556,360,220,360,220
64,1,4,4.0,-0.4,-0.255528,0.144472,814,597,814,553
65,1,6,4.0,-0.383975,-0.30597,0.078005,1222,979,1222,976
74,1,6,4.0,-0.380868,-0.234813,0.146055,976,639,970,614
75,1,2,4.0,-0.390361,-0.266265,0.124096,324,221,324,221
104,1,2,4.0,-0.290909,-0.272727,0.018182,128,120,128,120
105,1,2,4.0,-0.341935,-0.291935,0.05,212,181,212,181
92,1,2,4.0,-0.379167,-0.284722,0.094444,273,205,273,205
93,1,3,4.0,-0.371912,-0.251235,0.120676,715,483,715,483
102,1,3,4.0,-0.397774,-0.227829,0.169944,536,307,536,307
103,1,2,4.0,-0.336538,-0.236538,0.1,175,123,175,123
112,1,2,4.0,-0.366667,-0.253846,0.112821,143,99,143,99
113,1,4,4.0,-0.391292,-0.291437,0.099855,674,502,674,502
88,1,6,4.0,-0.383434,-0.334599,0.048835,1111,973,1111,971
89,1,3,4.0,-0.39845,-0.27907,0.11938,514,360,514,360
86,1,3,4.0,-0.397504,-0.241186,0.156318,637,390,637,388
87,1,6,4.0,-0.38378,-0.306772,0.077008,1222,1016,1220,992
108,1,6,4.0,-0.384211,-0.28614,0.09807,1095,875,1095,841
109,1,2,4.0,-0.385714,-0.298413,0.087302,243,188,243,188
100,1,3,4.0,-0.375593,-0.226441,0.149153,554,334,554,334
101,1,3,4.0,-0.391824,-0.33522,0.056604,623,533,623,533
96,1,6,4.0,-0.386977,-0.23814,0.148837,1040,640,1040,640
97,1,3,4.0,-0.359168,-0.320605,0.038563,482,424,478,424
120,1,2,4.0,-0.316667,-0.248148,0.068519,171,134,171,134
121,1,2,4.0,-0.336538,-0.242308,0.094231,175,126,175,126
106,1,2,4.0,-0.352941,-0.247059,0.105882,180,126,180,126
107,1,6,4.0,-0.389744,-0.302279,0.087464,1026,808,1026,801
130,1,2,4.0,-0.398246,-0.238596,0.159649,227,136,227,136
131,1,2,4.0,-0.354762,-0.264286,0.090476,149,111,149,111
116,1,3,4.0,-0.391901,-0.282645,0.109256,605,452,598,438
117,1,4,4.0,-0.382394,-0.232394,0.15,543,330,543,330
98,1,3,4.0,-0.385633,-0.210208,0.175425,510,278,510,278
99,1,6,4.0,-0.381756,-0.304389,0.077367,1109,907,1109,894
60,1,2,4.0,-0.383486,-0.242202,0.141284,418,264,418,264
61,1,6,4.0,-0.397964,-0.296218,0.101745,1368,1104,1368,1055
84,1,6,4.0,-0.385903,-0.284934,0.100969,1095,812,1095,810
85,1,6,4.0,-0.392846,-0.284228,0.108618,1208,874,1208,874
110,1,6,4.0,-0.390941,-0.332491,0.058449,1122,956,1122,955
111,1,3,4.0,-0.386716,-0.330627,0.056089,524,448,524,448
114,1,2,4.0,-0.339744,-0.275641,0.064103,265,215,265,215
115,1,6,4.0,-0.38995,-0.299497,0.090452,1164,943,1164,915
118,1,3,4.0,-0.386014,-0.310664,0.07535,552,453,552,448
119,1,3,4.0,-0.388704,-0.340199,0.048505,585,512,585,512
