alpha2,alpha1,obj,cost,cov,overlap,route_lens,solve_s
0.1,0.9,0.1357,172,172,0,"[2, 6, 2]",2.9
0.2,0.8,0.101775,172,172,0,"[2, 6, 2]",2.6
0.3,0.7,0.06785,172,172,0,"[2, 6, 2]",2.6
0.4,0.6,0.033925,172,172,0,"[2, 6, 2]",2.6
0.45,0.55,0.016963,172,172,0,"[2, 6, 2]",2.6
0.48,0.52,0.006785,172,172,0,"[2, 6, 2]",2.6
0.5,0.5,0.0,917,917,0,"[8, 10, 10]",2.6
0.52,0.48,-0.039408,999,999,0,"[10, 12, 10]",2.8
0.55,0.45,-0.098521,999,999,0,"[10, 12, 10]",2.8
0.6,0.4,-0.197041,999,999,0,"[10, 12, 10]",2.9
0.7,0.3,-0.394083,999,999,0,"[10, 12, 10]",2.7
0.8,0.2,-0.591124,999,999,0,"[10, 12, 10]",3.1
0.9,0.1,-0.788166,999,999,0,"[10, 12, 10]",3.1
