alpha2,alpha1,obj,cost,cov,overlap,route_lens,solve_s
0.1,0.9,0.22321,113,113,0,"[2, 8, 2]",0.7
0.2,0.8,0.167407,113,113,0,"[2, 8, 2]",0.6
0.3,0.7,0.111605,113,113,0,"[2, 8, 2]",0.6
0.4,0.6,0.055802,113,113,0,"[2, 8, 2]",0.6
0.45,0.55,0.027901,113,113,0,"[2, 8, 2]",0.6
0.48,0.52,0.01116,113,113,0,"[2, 8, 2]",0.6
0.5,0.5,0.0,330,330,0,"[10, 8, 12]",0.7
0.52,0.48,-0.038617,391,391,0,"[12, 12, 10]",2.8
0.55,0.45,-0.096543,391,391,0,"[10, 14, 12]",3.2
0.6,0.4,-0.193086,391,391,0,"[12, 12, 10]",2.8
0.7,0.3,-0.386173,391,391,0,"[12, 16, 10]",2.8
0.8,0.2,-0.579259,391,391,0,"[12, 14, 14]",0.9
0.9,0.1,-0.772346,391,391,0,"[8, 12, 12]",2.8
