alpha2,alpha1,obj,cost,cov,overlap,route_lens,solve_s
0.1,0.9,0.2,96,96,0,"[2, 6, 2]",0.5
0.2,0.8,0.15,96,96,0,"[2, 6, 2]",0.4
0.3,0.7,0.1,96,96,0,"[2, 6, 2]",0.4
0.4,0.6,0.05,96,96,0,"[2, 6, 2]",0.4
0.45,0.55,0.025,96,96,0,"[2, 6, 2]",0.4
0.48,0.52,0.01,96,96,0,"[2, 6, 2]",0.4
0.5,0.5,0.0,337,337,0,"[6, 6, 12]",0.4
0.52,0.48,-0.038021,365,365,0,"[14, 18, 14]",2.3
0.55,0.45,-0.095052,365,365,0,"[12, 10, 16]",2.6
0.6,0.4,-0.190104,365,365,0,"[14, 10, 18]",1.8
0.7,0.3,-0.380208,365,365,0,"[14, 18, 14]",1.9
0.8,0.2,-0.570312,365,365,0,"[12, 10, 12]",2.1
0.9,0.1,-0.760417,365,365,0,"[12, 16, 16]",1.6
