idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
8,1,4,1.625,-0.343411,-0.323256,0.020155,225,219,223,213
9,1,2,2.0,-0.4,-0.361905,0.038095,126,114,126,114
4,1,2,1.5,-0.331429,-0.328571,0.002857,116,115,116,115
5,1,2,2.0,-0.4,-0.290265,0.109735,226,164,226,164
22,1,2,1.5,-0.360606,-0.360606,0.0,119,119,119,119
23,1,2,1.5,-0.4,-0.378231,0.021769,147,139,147,139
6,1,4,1.625,-0.4,-0.323513,0.076487,353,289,353,287
7,1,2,1.5,-0.307299,-0.122628,0.184672,114,91,109,63
16,1,2,2.0,-0.393583,-0.391444,0.002139,184,183,184,183
17,1,3,1.5,-0.372947,-0.35942,0.013527,193,186,193,186
14,1,3,1.167,-0.4,-0.226794,0.173206,209,178,209,144
15,1,4,2.0,-0.398974,-0.328718,0.070256,389,338,389,328
10,1,2,1.0,-0.4,-0.4,0.0,97,97,97,97
11,1,4,2.0,-0.392857,-0.321198,0.071659,428,401,427,371
2,1,4,1.75,-0.38328,-0.363987,0.019293,298,283,298,283
3,1,2,2.5,-0.4,-0.355056,0.044944,178,158,178,158
20,1,4,1.625,-0.288679,-0.198113,0.090566,317,245,267,195
21,1,4,1.5,-0.384561,-0.324561,0.06,274,240,274,235
0,1,4,1.875,-0.382445,-0.304702,0.077743,305,243,305,243
1,1,2,2.0,-0.4,-0.4,0.0,176,176,176,176
46,1,3,1.167,-0.397765,-0.397765,0.0,178,178,178,178
47,1,4,1.0,-0.2,-0.2,0.0,196,196,140,140
28,1,3,1.833,-0.398566,-0.346953,0.051613,278,242,278,242
29,1,3,1.667,-0.395522,-0.358209,0.037313,265,240,265,240
26,1,4,1.625,-0.334711,-0.198347,0.136364,351,285,324,225
27,1,4,2.5,-0.389355,-0.36129,0.028065,307,294,304,286
50,1,3,1.5,-0.24058,-0.2,0.04058,118,104,98,84
51,1,2,1.25,-0.4,-0.321495,0.078505,107,86,107,86
34,1,3,1.0,-0.03,-0.03,0.0,140,140,66,66
35,1,3,2.333,-0.4,-0.371852,0.028148,270,251,270,251
44,1,3,1.5,-0.391597,-0.344538,0.047059,233,205,233,205
45,1,2,1.5,-0.390909,-0.331818,0.059091,172,146,172,146
48,1,3,1.0,-0.121239,-0.121239,0.0,113,113,68,68
49,1,4,1.375,-0.353247,-0.334199,0.019048,204,193,204,193
30,1,2,3.0,-0.4,-0.332308,0.067692,260,216,260,216
31,1,3,1.5,-0.349495,-0.290909,0.058586,173,144,173,144
64,1,2,1.5,-0.397315,-0.27651,0.120805,148,103,148,103
65,1,4,1.625,-0.381034,-0.353448,0.027586,221,205,221,205
18,1,4,2.0,-0.399024,-0.364878,0.034146,409,374,409,374
19,1,4,2.0,-0.378723,-0.338298,0.040426,356,318,356,318
58,1,4,2.0,-0.4,-0.281847,0.118153,314,272,314,243
59,1,2,1.75,-0.378231,-0.331973,0.046259,139,122,139,122
60,1,2,2.0,-0.4,-0.370286,0.029714,175,162,175,162
61,1,2,1.25,-0.389189,-0.356757,0.032432,144,132,144,132
52,1,3,2.0,-0.394366,-0.313615,0.080751,210,167,210,167
53,1,3,2.167,-0.382734,-0.307914,0.07482,266,214,266,214
12,1,2,1.75,-0.387166,-0.359358,0.027807,181,168,181,168
13,1,3,2.333,-0.4,-0.257738,0.142262,336,276,336,242
54,1,2,1.75,-0.4,-0.137059,0.262941,170,130,170,89
55,1,3,1.667,-0.4,-0.326316,0.073684,266,217,266,217
66,1,3,1.5,-0.398535,-0.326007,0.072527,272,226,272,224
67,1,4,1.0,-0.266968,-0.266968,0.0,221,221,179,179
36,1,4,1.625,-0.363121,-0.331915,0.031206,256,234,256,234
37,1,2,3.0,-0.393916,-0.346768,0.047148,259,228,259,228
38,1,2,2.25,-0.4,-0.333981,0.066019,206,186,206,178
39,1,2,3.0,-0.4,-0.322388,0.077612,268,216,268,216
76,1,2,2.0,-0.4,-0.32963,0.07037,108,89,108,89
77,1,4,1.875,-0.398714,-0.32283,0.075884,310,251,310,251
80,1,2,1.5,-0.380822,-0.309589,0.071233,139,113,139,113
81,1,2,2.0,-0.4,-0.367308,0.032692,208,191,208,191
78,1,3,1.833,-0.4,-0.365152,0.034848,264,241,264,241
79,1,4,1.625,-0.195789,-0.16,0.035789,135,118,111,94
68,1,4,3.0,-0.397357,-0.334802,0.062555,451,380,451,380
69,1,2,2.0,-0.4,-0.209483,0.190517,116,80,116,69
62,1,3,3.0,-0.4,-0.334456,0.065544,386,335,386,328
63,1,3,1.667,-0.202564,-0.171795,0.030769,192,174,150,132
84,1,2,2.0,-0.395652,-0.267391,0.128261,182,123,182,123
85,1,3,1.833,-0.372043,-0.329032,0.043011,173,153,173,153
88,1,3,2.0,-0.4,-0.309896,0.090104,192,161,192,154
89,1,4,1.75,-0.294167,-0.2925,0.001667,215,214,193,192
42,1,2,2.5,-0.345946,-0.274595,0.071351,160,127,160,127
43,1,4,3.0,-0.398198,-0.352252,0.045946,442,391,442,391
82,1,2,1.0,-0.4,-0.4,0.0,114,114,114,114
83,1,4,2.0,-0.39799,-0.364573,0.033417,396,368,396,365
94,1,2,1.0,-0.4,-0.4,0.0,69,69,69,69
95,1,4,1.5,-0.339568,-0.310791,0.028777,236,216,236,216
74,1,3,1.667,-0.4,-0.35625,0.04375,192,171,192,171
75,1,2,3.0,-0.4,-0.356226,0.043774,265,236,265,236
98,1,2,2.25,-0.387179,-0.341026,0.046154,151,133,151,133
99,1,4,1.375,-0.036574,-0.036574,0.0,158,158,79,79
92,1,4,1.375,-0.292653,-0.279592,0.013061,230,222,201,193
93,1,2,2.0,-0.398,-0.3615,0.0365,199,193,199,186
70,1,3,2.0,-0.398658,-0.383893,0.014765,297,286,297,286
71,1,3,2.667,-0.4,-0.352561,0.047439,371,327,371,327
100,1,3,1.667,-0.4,-0.36337,0.03663,273,248,273,248
101,1,3,1.0,-0.35858,-0.35858,0.0,169,169,159,159
108,1,4,2.0,-0.392857,-0.31301,0.079847,385,347,385,324
109,1,2,1.5,-0.339568,-0.330935,0.008633,118,115,118,115
72,1,3,2.333,-0.4,-0.38835,0.01165,309,300,309,300
73,1,2,2.5,-0.4,-0.370909,0.029091,220,204,220,204
96,1,2,3.0,-0.392157,-0.360784,0.031373,200,184,200,184
97,1,4,2.0,-0.395181,-0.285542,0.109639,328,258,328,246
104,1,2,1.5,-0.395181,-0.342169,0.053012,164,142,164,142
105,1,2,3.0,-0.4,-0.362667,0.037333,225,204,225,204
112,1,4,1.375,-0.344186,-0.318937,0.025249,273,254,265,246
113,1,2,1.5,-0.264078,-0.264078,0.0,68,68,68,68
102,1,3,1.833,-0.388571,-0.141633,0.246939,238,141,238,110
103,1,3,1.667,-0.398462,-0.258462,0.14,259,168,259,168
116,1,4,1.375,-0.389354,-0.372624,0.01673,256,245,256,245
117,1,2,1.0,-0.320455,-0.320455,0.0,44,44,39,39
120,1,2,1.25,-0.343529,-0.343529,0.0,73,73,73,73
121,1,2,1.5,-0.345455,-0.327273,0.018182,95,90,95,90
86,1,3,2.167,-0.383099,-0.319718,0.06338,272,227,272,227
87,1,4,2.0,-0.4,-0.368707,0.031293,294,271,294,271
122,1,4,1.0,-0.209467,-0.209467,0.0,169,169,123,123
123,1,4,1.625,-0.296947,-0.251145,0.045802,226,196,208,178
90,1,3,2.0,-0.4,-0.298413,0.101587,378,317,378,297
91,1,2,1.5,-0.385882,-0.383529,0.002353,164,163,164,163
114,1,2,2.5,-0.347541,-0.347541,0.0,159,159,159,159
115,1,2,2.0,-0.328125,-0.30625,0.021875,105,98,105,98
118,1,4,2.0,-0.39898,-0.258673,0.140306,391,306,391,276
119,1,2,1.5,-0.4,-0.37913,0.02087,115,109,115,109
132,1,3,2.5,-0.380723,-0.364659,0.016064,237,227,237,227
133,1,4,1.0,-0.35234,-0.209362,0.142979,235,235,219,171
124,1,4,1.5,-0.395556,-0.31963,0.075926,267,228,267,221
125,1,2,1.75,-0.4,-0.291589,0.108411,214,156,214,156
40,1,2,1.5,-0.4,-0.336986,0.063014,146,123,146,123
41,1,3,3.0,-0.4,-0.342569,0.057431,397,340,397,340
130,1,2,1.5,-0.4,-0.391444,0.008556,187,183,187,183
131,1,3,2.167,-0.38858,-0.163272,0.225309,320,246,317,181
