idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
4,1,5,1.7,-0.356522,-0.339493,0.017029,246,243,246,238
5,1,5,1.5,-0.379104,-0.31791,0.061194,254,213,254,213
14,1,8,1.5,-0.331439,-0.278409,0.05303,476,441,454,399
15,1,5,2.1,-0.394695,-0.356499,0.038196,372,336,372,336
8,1,5,2.0,-0.359211,-0.310526,0.048684,273,236,273,236
9,1,8,2.062,-0.368916,-0.288753,0.080164,451,402,451,374
0,1,5,1.3,-0.374902,-0.335686,0.039216,239,214,239,214
1,1,8,2.0,-0.386971,-0.317101,0.06987,594,541,594,510
18,1,8,1.625,-0.386057,-0.244662,0.141394,443,377,443,322
19,1,5,2.1,-0.384334,-0.260052,0.124282,368,277,368,261
24,1,5,2.4,-0.389189,-0.238108,0.151081,360,264,360,239
25,1,5,2.0,-0.4,-0.345592,0.054408,397,343,397,343
10,1,8,1.688,-0.351633,-0.287959,0.063673,457,421,442,382
11,1,8,2.0,-0.358459,-0.304511,0.053947,489,433,482,417
20,1,8,2.0,-0.367956,-0.28895,0.079006,503,422,501,405
21,1,5,1.5,-0.304938,-0.263786,0.041152,187,162,186,161
34,1,5,1.8,-0.379456,-0.341994,0.037462,314,283,314,283
35,1,5,1.5,-0.372973,-0.362162,0.010811,207,201,207,201
28,1,8,2.0,-0.386391,-0.299556,0.086834,653,550,653,525
29,1,8,1.438,-0.396674,-0.341996,0.054678,477,441,477,424
6,1,8,2.0,-0.388308,-0.298308,0.09,631,525,631,502
7,1,5,1.8,-0.374528,-0.301258,0.07327,303,257,300,247
30,1,5,1.5,-0.390336,-0.359664,0.030672,234,214,233,214
31,1,8,1.75,-0.391942,-0.293388,0.098554,476,446,475,394
36,1,5,1.6,-0.379032,-0.319758,0.059274,235,214,235,205
37,1,5,2.2,-0.391133,-0.297537,0.093596,397,302,397,302
48,1,5,1.0,-0.282723,-0.282723,0.0,191,191,159,159
49,1,8,1.0,-0.364527,-0.364527,0.0,296,296,281,281
32,1,5,2.0,-0.394898,-0.296684,0.098214,387,324,387,305
33,1,8,2.0,-0.378495,-0.241219,0.137276,528,487,528,401
44,1,8,2.0,-0.383117,-0.347565,0.035552,590,537,590,536
45,1,5,1.0,-0.4,-0.4,0.0,157,157,157,157
50,1,5,1.5,-0.367164,-0.335821,0.031343,246,225,246,225
51,1,8,1.5,-0.357228,-0.290495,0.066733,451,421,451,390
52,1,5,2.0,-0.377143,-0.365714,0.011429,297,288,297,288
53,1,5,1.5,-0.383475,-0.288559,0.094915,228,172,227,171
22,1,8,2.0,-0.379203,-0.308492,0.070711,547,452,547,448
23,1,5,1.7,-0.378182,-0.326061,0.052121,312,269,312,269
46,1,5,1.6,-0.376978,-0.269784,0.107194,262,247,262,213
47,1,5,2.4,-0.379874,-0.351572,0.028302,302,290,302,284
38,1,8,2.188,-0.365377,-0.281874,0.083503,452,360,450,352
39,1,8,1.5,-0.372034,-0.308898,0.063136,439,368,439,366
40,1,8,2.0,-0.377409,-0.304319,0.07309,568,479,568,467
41,1,5,1.9,-0.389773,-0.355682,0.034091,343,313,343,313
62,1,8,1.625,-0.311609,-0.305013,0.006596,311,310,302,298
63,1,8,1.5,-0.350649,-0.273593,0.077056,405,337,405,325
56,1,5,1.9,-0.4,-0.315254,0.084746,354,279,354,279
57,1,5,2.0,-0.392429,-0.348265,0.044164,311,290,311,282
76,1,8,1.562,-0.352353,-0.268824,0.083529,472,397,459,366
77,1,5,1.5,-0.351931,-0.295279,0.056652,205,172,205,172
66,1,5,1.8,-0.4,-0.344118,0.055882,340,310,340,300
67,1,8,2.0,-0.387162,-0.32348,0.063682,573,491,573,484
26,1,8,1.812,-0.362595,-0.317366,0.045229,475,435,475,424
27,1,8,1.938,-0.369177,-0.289142,0.080035,527,453,527,430
68,1,8,2.062,-0.385068,-0.261086,0.123982,647,473,642,450
69,1,5,1.7,-0.34981,-0.270722,0.079087,230,178,230,178
80,1,8,1.875,-0.389694,-0.345089,0.044605,605,541,605,538
81,1,8,1.562,-0.382143,-0.35625,0.025893,428,399,428,399
12,1,5,3.0,-0.399234,-0.332567,0.066667,521,434,521,434
13,1,8,2.0,-0.366423,-0.225912,0.140511,516,425,508,359
84,1,5,1.6,-0.381132,-0.368396,0.012736,202,197,202,196
85,1,8,1.5,-0.35956,-0.309231,0.05033,416,385,412,366
64,1,5,3.0,-0.377889,-0.349749,0.028141,376,348,376,348
65,1,8,1.688,-0.394815,-0.353519,0.041296,533,493,533,484
88,1,5,1.9,-0.367078,-0.353909,0.013169,223,215,223,215
