idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
10,1,4,1.25,-0.343784,-0.28,0.063784,159,147,159,137
11,1,2,1.25,-0.312727,-0.312727,0.0,43,43,43,43
24,1,4,1.25,-0.377778,-0.341667,0.036111,136,123,136,123
25,1,2,1.25,-0.369892,-0.31828,0.051613,86,74,86,74
2,1,6,1.25,-0.362205,-0.304331,0.057874,230,209,230,200
3,1,2,1.25,-0.31875,-0.31875,0.0,51,51,51,51
4,1,3,1.25,-0.379661,-0.341243,0.038418,168,151,168,151
5,1,2,1.75,-0.296774,-0.245161,0.051613,69,57,69,57
14,1,2,1.75,-0.354545,-0.272727,0.081818,78,60,78,60
15,1,4,1.75,-0.330435,-0.297391,0.033043,190,171,190,171
16,1,2,1.25,-0.377778,-0.322222,0.055556,68,58,68,58
17,1,3,1.75,-0.396444,-0.302222,0.094222,223,170,223,170
26,1,4,1.75,-0.351417,-0.263158,0.088259,231,173,223,167
27,1,2,1.25,-0.371134,-0.317526,0.053608,90,77,90,77
40,1,3,1.25,-0.348936,-0.31773,0.031206,123,112,123,112
41,1,4,1.25,-0.33379,-0.289954,0.043836,202,178,191,167
18,1,3,1.75,-0.367382,-0.279828,0.087554,214,163,214,163
19,1,3,1.25,-0.366061,-0.285455,0.080606,151,144,151,129
0,1,4,1.75,-0.390661,-0.273541,0.117121,251,237,251,202
1,1,6,1.25,-0.345038,-0.257634,0.087405,233,223,229,192
34,1,6,1.25,-0.37697,-0.356364,0.020606,311,294,311,294
35,1,3,1.25,-0.35913,-0.316522,0.042609,105,91,104,91
32,1,2,1.75,-0.381395,-0.325581,0.055814,82,70,82,70
33,1,3,1.75,-0.393258,-0.348315,0.044944,175,155,175,155
38,1,2,1.25,-0.370149,-0.316418,0.053731,62,53,62,53
39,1,6,1.25,-0.379798,-0.343434,0.036364,282,255,282,255
42,1,3,1.25,-0.394326,-0.31773,0.076596,139,112,139,112
43,1,2,1.25,-0.341935,-0.341935,0.0,53,53,53,53
22,1,3,1.75,-0.346341,-0.302439,0.043902,213,186,213,186
23,1,4,1.75,-0.366667,-0.32037,0.046296,198,173,198,173
36,1,3,1.75,-0.392627,-0.287558,0.105069,213,156,213,156
37,1,4,1.25,-0.373481,-0.327072,0.046409,169,148,169,148
6,1,6,1.25,-0.303101,-0.278295,0.024806,220,204,206,190
7,1,4,1.75,-0.350385,-0.256538,0.093846,240,179,233,172
20,1,6,1.75,-0.378086,-0.253904,0.124181,377,301,376,273
21,1,4,1.75,-0.344304,-0.293671,0.050633,204,174,204,174
48,1,4,1.75,-0.370833,-0.266667,0.104167,178,128,178,128
49,1,2,1.75,-0.369231,-0.358974,0.010256,72,70,72,70
30,1,6,1.25,-0.370569,-0.351839,0.018729,277,263,277,263
31,1,4,1.75,-0.384436,-0.333074,0.051362,247,214,247,214
28,1,4,1.75,-0.351389,-0.305093,0.046296,195,170,192,167
29,1,3,1.75,-0.379909,-0.359817,0.020091,208,197,208,197
52,1,6,1.25,-0.331228,-0.258947,0.072281,243,230,239,204
53,1,3,1.25,-0.317647,-0.317647,0.0,108,108,108,108
54,1,2,1.25,-0.365517,-0.317241,0.048276,106,92,106,92
55,1,4,1.25,-0.35102,-0.329252,0.021769,129,121,129,121
12,1,6,1.75,-0.384652,-0.319424,0.065228,401,333,401,333
13,1,4,1.75,-0.332157,-0.260392,0.071765,217,166,214,166
56,1,4,1.25,-0.367702,-0.337888,0.029814,148,136,148,136
57,1,4,1.25,-0.374713,-0.324138,0.050575,163,141,163,141
44,1,6,1.25,-0.361977,-0.324335,0.037643,238,215,238,214
45,1,4,1.75,-0.376296,-0.268148,0.108148,254,209,254,193
46,1,2,1.75,-0.35,-0.284615,0.065385,91,74,91,74
47,1,4,1.75,-0.385253,-0.259908,0.125346,209,141,209,141
58,1,6,1.25,-0.331268,-0.30059,0.030678,300,295,289,272
59,1,4,1.25,-0.350345,-0.293103,0.057241,127,115,127,110
68,1,2,1.25,-0.372973,-0.313514,0.059459,69,58,69,58
69,1,4,1.75,-0.325,-0.2375,0.0875,156,114,156,114
62,1,6,1.25,-0.309854,-0.268978,0.040876,249,221,228,200
63,1,4,1.25,-0.243814,-0.225258,0.018557,162,153,137,128
70,1,6,1.25,-0.34657,-0.274007,0.072563,254,223,246,204
71,1,4,1.25,-0.355307,-0.317318,0.037989,159,142,159,142
66,1,3,1.75,-0.371585,-0.327869,0.043716,170,150,170,150
67,1,2,1.25,-0.317073,-0.317073,0.0,65,65,65,65
50,1,4,1.75,-0.369082,-0.28599,0.083092,191,148,191,148
51,1,3,1.75,-0.367914,-0.31016,0.057754,172,145,172,145
76,1,4,1.25,-0.370526,-0.370526,0.0,176,176,176,176
77,1,2,1.75,-0.384252,-0.302362,0.08189,122,96,122,96
84,1,4,1.75,-0.376068,-0.319658,0.05641,220,187,220,187
85,1,2,1.75,-0.345455,-0.227273,0.118182,76,50,76,50
64,1,3,1.75,-0.389238,-0.380269,0.008969,217,212,217,212
65,1,2,1.75,-0.36,-0.228,0.132,90,57,90,57
80,1,6,1.75,-0.365258,-0.320188,0.04507,389,341,389,341
81,1,4,1.25,-0.359236,-0.313376,0.04586,148,137,144,129
60,1,3,1.75,-0.38232,-0.298343,0.083978,173,135,173,135
61,1,3,1.75,-0.377674,-0.286047,0.091628,203,159,203,156
94,1,2,1.75,-0.3328,-0.3008,0.032,104,94,104,94
95,1,3,1.25,-0.357764,-0.318012,0.039752,144,128,144,128
88,1,3,1.75,-0.393774,-0.393774,0.0,253,253,253,253
89,1,3,1.25,-0.332847,-0.315328,0.017518,114,108,114,108
8,1,6,1.75,-0.369882,-0.335059,0.034824,393,356,393,356
9,1,6,1.75,-0.376415,-0.19316,0.183255,399,315,399,252
102,1,2,1.25,-0.321311,-0.314754,0.006557,49,48,49,48
103,1,4,1.25,-0.361039,-0.337662,0.023377,139,130,139,130
100,1,6,1.25,-0.3568,-0.3376,0.0192,223,211,223,211
101,1,4,1.25,-0.349398,-0.322892,0.026506,145,134,145,134
92,1,2,1.75,-0.397516,-0.278261,0.119255,160,112,160,112
93,1,2,1.75,-0.39708,-0.236496,0.160584,136,81,136,81
78,1,3,1.75,-0.389418,-0.321693,0.067725,184,152,184,152
79,1,6,1.75,-0.369668,-0.31564,0.054028,390,333,390,333
72,1,4,1.25,-0.361905,-0.332275,0.02963,171,157,171,157
73,1,6,1.75,-0.382872,-0.313602,0.06927,380,327,380,318
112,1,3,1.25,-0.355932,-0.355932,0.0,105,105,105,105
113,1,4,1.25,-0.342857,-0.315429,0.027429,150,138,150,138
108,1,3,1.25,-0.367742,-0.352688,0.015054,171,164,171,164
109,1,4,1.25,-0.362887,-0.317526,0.045361,176,154,176,154
98,1,3,1.25,-0.385185,-0.322222,0.062963,130,114,130,111
99,1,4,1.75,-0.341762,-0.300383,0.041379,223,196,223,196
74,1,2,1.75,-0.352688,-0.352688,0.0,82,82,82,82
75,1,6,1.75,-0.376798,-0.270998,0.1058,406,334,406,310
104,1,2,1.75,-0.385047,-0.366355,0.018692,103,98,103,98
105,1,3,1.25,-0.36,-0.3275,0.0325,144,131,144,131
96,1,6,1.75,-0.367517,-0.276566,0.090951,396,319,396,307
97,1,2,1.25,-0.36087,-0.330435,0.030435,83,76,83,76
118,1,2,1.25,-0.315789,-0.315789,0.0,60,60,60,60
119,1,2,1.75,-0.397122,-0.227338,0.169784,138,79,138,79
82,1,3,1.75,-0.396653,-0.338075,0.058577,237,202,237,202
83,1,4,1.75,-0.385484,-0.306452,0.079032,239,190,239,190
126,1,2,1.25,-0.316981,-0.316981,0.0,42,42,42,42
127,1,2,1.75,-0.385321,-0.363303,0.022018,105,99,105,99
114,1,4,1.75,-0.36036,-0.257658,0.102703,200,143,200,143
115,1,4,1.75,-0.349153,-0.30678,0.042373,206,181,206,181
90,1,6,1.75,-0.370563,-0.318615,0.051948,428,375,428,371
91,1,3,1.75,-0.377401,-0.308475,0.068927,167,140,167,138
86,1,6,1.75,-0.367473,-0.325055,0.042418,418,375,418,372
87,1,6,1.25,-0.360481,-0.185911,0.17457,264,235,263,178
120,1,3,1.25,-0.3625,-0.325,0.0375,116,104,116,104
121,1,4,1.75,-0.35119,-0.305159,0.046032,223,194,222,193
134,1,3,1.25,-0.350769,-0.316923,0.033846,114,103,114,103
135,1,3,1.25,-0.397714,-0.289714,0.108,174,139,174,132
116,1,2,1.25,-0.365854,-0.265854,0.1,75,65,75,59
117,1,6,1.75,-0.387097,-0.329263,0.057834,420,359,420,358
142,1,3,1.25,-0.323077,-0.275,0.048077,84,82,84,76
143,1,4,1.25,-0.353591,-0.320442,0.033149,160,145,160,145
122,1,4,1.25,-0.370093,-0.368224,0.001869,198,197,198,197
123,1,4,1.75,-0.275122,-0.247805,0.027317,155,141,147,133
132,1,2,1.25,-0.338144,-0.137113,0.201031,89,77,85,52
133,1,4,1.25,-0.375909,-0.286818,0.089091,212,184,209,169
106,1,4,1.75,-0.355378,-0.302789,0.05259,223,190,223,190
107,1,4,1.75,-0.388477,-0.279835,0.108642,236,170,236,170
156,1,2,1.25,-0.379487,-0.317949,0.061538,74,62,74,62
157,1,2,1.25,-0.366316,-0.32,0.046316,87,76,87,76
124,1,6,1.75,-0.388542,-0.304167,0.084375,373,292,373,292
125,1,2,1.75,-0.353846,-0.319231,0.034615,92,83,92,83
110,1,3,1.75,-0.394231,-0.342308,0.051923,205,178,205,178
111,1,6,1.75,-0.38005,-0.337157,0.042893,381,338,381,338
144,1,4,1.75,-0.327547,-0.226415,0.101132,217,150,217,150
145,1,3,1.25,-0.358904,-0.331507,0.027397,131,121,131,121
158,1,2,1.75,-0.350515,-0.292784,0.057732,85,71,85,71
159,1,4,1.25,-0.355862,-0.334483,0.021379,129,123,129,122
150,1,6,1.25,-0.368683,-0.33879,0.029893,259,238,259,238
151,1,2,1.75,-0.3872,-0.304,0.0832,121,95,121,95
138,1,2,1.75,-0.36036,-0.281081,0.079279,100,78,100,78
139,1,3,1.75,-0.367476,-0.345631,0.021845,191,178,190,178
148,1,3,1.25,-0.340984,-0.340984,0.0,104,104,104,104
149,1,4,1.75,-0.335385,-0.295385,0.04,218,192,218,192
136,1,3,1.25,-0.391608,-0.383217,0.008392,140,137,140,137
137,1,3,1.75,-0.3648,-0.3408,0.024,228,213,228,213
160,1,3,1.75,-0.396154,-0.334615,0.061538,206,174,206,174
161,1,3,1.75,-0.386792,-0.311321,0.075472,205,165,205,165
154,1,3,1.25,-0.365714,-0.317714,0.048,160,139,160,139
155,1,3,1.75,-0.38673,-0.301422,0.085308,204,159,204,159
130,1,2,1.25,-0.315152,-0.315152,0.0,52,52,52,52
131,1,6,1.75,-0.383673,-0.346485,0.037188,423,382,423,382
146,1,3,1.75,-0.381308,-0.330841,0.050467,204,177,204,177
147,1,3,1.75,-0.37931,-0.328736,0.050575,165,143,165,143
168,1,2,1.25,-0.346667,-0.346667,0.0,65,65,65,65
169,1,2,1.75,-0.362069,-0.313793,0.048276,105,91,105,91
178,1,2,1.25,-0.355056,-0.319101,0.035955,79,71,79,71
179,1,6,1.25,-0.35,-0.266554,0.083446,259,241,259,216
164,1,3,1.25,-0.37,-0.365,0.005,148,146,148,146
165,1,3,1.25,-0.378723,-0.346809,0.031915,178,163,178,163
152,1,3,1.75,-0.4,-0.310909,0.089091,220,171,220,171
153,1,6,1.25,-0.308982,-0.229641,0.079341,293,281,273,230
