idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
28,1,2,4.0,-0.4,-0.251852,0.148148,189,119,189,119
29,1,2,4.0,-0.397895,-0.277895,0.12,189,132,189,132
16,1,2,4.0,-0.360784,-0.303268,0.057516,138,116,138,116
17,1,2,4.0,-0.4,-0.355639,0.044361,266,240,266,238
4,1,2,4.0,-0.395506,-0.373034,0.022472,176,166,176,166
5,1,3,4.0,-0.4,-0.334605,0.065395,367,307,367,307
0,1,2,4.0,-0.4,-0.323077,0.076923,234,189,234,189
1,1,4,4.0,-0.368605,-0.263953,0.104651,317,227,317,227
10,1,4,4.0,-0.362667,-0.328533,0.034133,340,308,340,308
11,1,4,4.0,-0.359609,-0.309446,0.050163,276,255,276,245
36,1,2,4.0,-0.4,-0.348971,0.051029,243,212,243,212
37,1,2,4.0,-0.311111,-0.249735,0.061376,147,118,147,118
2,1,3,4.0,-0.351402,-0.297819,0.053583,282,239,282,239
3,1,2,4.0,-0.4,-0.226866,0.173134,201,114,201,114
42,1,4,4.0,-0.393381,-0.302837,0.090544,416,357,416,336
43,1,2,4.0,-0.307368,-0.282105,0.025263,146,134,146,134
40,1,2,4.0,-0.4,-0.37434,0.02566,265,248,265,248
41,1,2,4.0,-0.360526,-0.323684,0.036842,137,123,137,123
30,1,6,4.0,-0.379016,-0.31459,0.064426,578,492,578,485
31,1,3,4.0,-0.4,-0.307542,0.092458,358,298,358,285
6,1,4,4.0,-0.397539,-0.316555,0.080984,446,373,445,362
7,1,4,4.0,-0.36,-0.32,0.04,270,240,270,240
50,1,3,4.0,-0.4,-0.334673,0.065327,398,333,398,333
51,1,3,4.0,-0.396319,-0.30184,0.094479,323,246,323,246
14,1,2,4.0,-0.36,-0.338667,0.021333,135,127,135,127
15,1,4,4.0,-0.385612,-0.336691,0.048921,402,351,402,351
8,1,3,4.0,-0.4,-0.333165,0.066835,395,329,395,329
9,1,3,4.0,-0.398883,-0.352514,0.046369,357,319,357,317
34,1,6,4.0,-0.376963,-0.302967,0.073997,540,462,540,446
35,1,2,4.0,-0.351759,-0.281407,0.070352,175,147,175,143
48,1,3,4.0,-0.4,-0.327666,0.072334,347,286,347,285
49,1,6,4.0,-0.395833,-0.289198,0.106636,643,528,642,494
46,1,2,4.0,-0.4,-0.335678,0.064322,199,167,199,167
47,1,4,4.0,-0.399219,-0.374414,0.024805,511,488,511,483
18,1,3,4.0,-0.4,-0.234987,0.165013,383,260,383,240
19,1,4,4.0,-0.367857,-0.333036,0.034821,412,373,412,373
52,1,4,4.0,-0.4,-0.298383,0.101617,433,323,433,323
53,1,4,4.0,-0.379691,-0.340839,0.038852,430,386,430,386
24,1,6,4.0,-0.391592,-0.287988,0.103604,652,567,652,517
25,1,2,4.0,-0.4,-0.381034,0.018966,232,221,232,221
12,1,6,4.0,-0.399367,-0.279114,0.120253,631,441,631,441
13,1,4,4.0,-0.35541,-0.305574,0.049836,271,233,271,233
