idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
20,1,2,1.0,-0.4,-0.4,0.0,54,54,54,54
21,1,4,1.875,-0.385827,-0.335433,0.050394,245,213,245,213
18,1,2,1.5,-0.367059,-0.367059,0.0,78,78,78,78
19,1,2,1.75,-0.360494,-0.320988,0.039506,73,65,73,65
24,1,3,1.833,-0.345918,-0.327551,0.018367,187,178,177,168
25,1,6,1.5,-0.36401,-0.295652,0.068357,396,362,385,330
4,1,3,1.333,-0.387597,-0.387597,0.0,125,125,125,125
5,1,3,2.0,-0.390741,-0.368519,0.022222,211,199,211,199
16,1,2,2.25,-0.357047,-0.338255,0.018792,133,126,133,126
17,1,2,2.0,-0.389333,-0.333333,0.056,146,125,146,125
6,1,4,1.875,-0.39085,-0.275817,0.115033,299,211,299,211
7,1,2,2.0,-0.4,-0.362667,0.037333,75,68,75,68
30,1,3,1.667,-0.4,-0.4,0.0,243,243,243,243
31,1,6,1.0,-0.4,-0.4,0.0,300,300,300,300
0,1,4,1.5,-0.359358,-0.260428,0.09893,168,162,168,139
1,1,4,1.75,-0.389641,-0.325896,0.063745,248,215,246,209
10,1,6,1.583,-0.348413,-0.335714,0.012698,223,215,221,213
11,1,6,1.667,-0.392099,-0.301481,0.090617,397,307,397,306
26,1,3,1.5,-0.380247,-0.32963,0.050617,231,209,231,204
27,1,2,2.25,-0.395506,-0.388764,0.006742,176,173,176,173
40,1,3,1.5,-0.353659,-0.329268,0.02439,145,135,145,135
41,1,2,1.75,-0.339394,-0.323232,0.016162,84,80,84,80
32,1,6,2.0,-0.384158,-0.185149,0.19901,388,285,388,229
33,1,6,2.333,-0.327419,-0.30871,0.01871,266,262,259,249
36,1,4,1.625,-0.373267,-0.368317,0.00495,192,186,190,186
37,1,6,1.5,-0.365289,-0.325895,0.039394,335,308,333,301
34,1,4,1.375,-0.393103,-0.348851,0.044253,171,171,171,160
35,1,3,2.5,-0.371918,-0.367808,0.00411,275,272,273,270
44,1,3,1.0,-0.4,-0.4,0.0,71,71,71,71
45,1,6,1.833,-0.383668,-0.303518,0.080151,387,337,384,317
46,1,2,2.5,-0.390419,-0.308982,0.081437,163,129,163,129
47,1,6,1.0,-0.396635,-0.396635,0.0,208,208,207,207
14,1,4,2.375,-0.357143,-0.271429,0.085714,225,171,225,171
15,1,6,2.083,-0.393939,-0.303896,0.090043,455,372,455,360
42,1,3,2.333,-0.4,-0.37786,0.02214,271,256,271,256
43,1,4,1.375,-0.371271,-0.371271,0.0,168,168,168,168
56,1,3,2.167,-0.376256,-0.30137,0.074886,206,165,206,165
57,1,2,3.0,-0.384314,-0.282353,0.101961,98,72,98,72
62,1,4,1.5,-0.31399,-0.243005,0.070984,169,140,159,127
63,1,6,1.833,-0.39455,-0.313624,0.080926,362,293,362,290
60,1,3,1.5,-0.349701,-0.323353,0.026347,146,135,146,135
61,1,4,1.5,-0.4,-0.382759,0.017241,232,222,232,222
70,1,4,1.0,-0.342353,-0.342353,0.0,170,170,156,156
71,1,4,1.0,-0.4,-0.4,0.0,131,131,131,131
58,1,3,2.667,-0.397015,-0.326866,0.070149,266,219,266,219
59,1,6,2.083,-0.385567,-0.309278,0.076289,374,321,374,309
68,1,2,1.5,-0.386992,-0.347967,0.039024,119,107,119,107
69,1,4,1.25,-0.368657,-0.368657,0.0,187,187,186,186
54,1,2,1.5,-0.351724,-0.337931,0.013793,102,98,102,98
55,1,3,3.0,-0.391781,-0.332877,0.058904,286,243,286,243
38,1,3,1.667,-0.4,-0.354864,0.045136,257,228,257,228
39,1,4,2.125,-0.392615,-0.310154,0.082462,319,252,319,252
28,1,2,1.0,-0.4,-0.4,0.0,74,74,74,74
29,1,6,3.0,-0.398479,-0.291065,0.107414,524,416,524,397
80,1,2,2.0,-0.380952,-0.347619,0.033333,160,146,160,146
81,1,4,1.375,-0.352083,-0.352083,0.0,169,169,169,169
64,1,6,2.083,-0.373146,-0.266333,0.106814,497,390,479,357
65,1,2,1.0,-0.4,-0.4,0.0,80,80,80,80
72,1,3,1.0,-0.4,-0.4,0.0,102,102,102,102
73,1,6,1.75,-0.396499,-0.344858,0.051641,453,408,453,400
48,1,6,2.083,-0.397633,-0.310454,0.087179,504,404,504,398
49,1,6,2.0,-0.39386,-0.314912,0.078947,449,359,449,359
78,1,3,3.0,-0.387719,-0.307018,0.080702,221,175,221,175
79,1,4,2.0,-0.397765,-0.317039,0.080726,356,289,356,286
74,1,4,3.0,-0.391589,-0.296963,0.094626,419,330,419,323
75,1,4,1.0,-0.4,-0.4,0.0,130,130,130,130
84,1,3,1.5,-0.39759,-0.281928,0.115663,165,117,165,117
85,1,6,1.0,-0.374074,-0.374074,0.0,216,216,208,208
82,1,3,2.0,-0.395804,-0.377622,0.018182,283,270,283,270
83,1,4,1.125,-0.377083,-0.303125,0.073958,181,177,181,159
90,1,2,1.25,-0.394737,-0.394737,0.0,75,75,75,75
91,1,6,1.5,-0.359358,-0.271123,0.088235,336,306,336,276
94,1,2,1.5,-0.346667,-0.266667,0.08,78,60,78,60
95,1,6,1.5,-0.370025,-0.3,0.070025,376,331,371,312
