idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
22,1,2,1.5,-0.395152,-0.295758,0.099394,163,122,163,122
23,1,2,1.5,-0.4,-0.4,0.0,90,90,90,90
10,1,2,1.0,-0.4,-0.4,0.0,120,120,120,120
11,1,4,2.0,-0.394298,-0.30307,0.091228,453,440,451,386
6,1,4,1.625,-0.398529,-0.319118,0.079412,271,245,271,229
7,1,2,1.5,-0.392814,-0.238323,0.154491,164,131,164,113
16,1,2,2.0,-0.397674,-0.346512,0.051163,171,149,171,149
17,1,3,1.5,-0.385567,-0.348454,0.037113,187,169,187,169
12,1,2,1.75,-0.4,-0.392593,0.007407,162,159,162,159
13,1,3,2.333,-0.39403,-0.391045,0.002985,264,262,264,262
4,1,2,1.5,-0.396059,-0.390148,0.005911,201,198,201,198
5,1,2,2.0,-0.390099,-0.333663,0.056436,197,193,197,179
20,1,4,1.625,-0.287713,-0.274403,0.013311,293,285,246,237
21,1,4,1.5,-0.3875,-0.338889,0.048611,279,244,279,244
2,1,4,1.75,-0.397538,-0.326154,0.071385,323,272,323,268
3,1,2,2.5,-0.4,-0.359551,0.040449,178,160,178,160
14,1,3,1.167,-0.395876,-0.379381,0.016495,192,184,192,184
15,1,4,2.0,-0.399119,-0.282379,0.11674,453,366,453,340
28,1,3,1.833,-0.39589,-0.314726,0.081164,289,263,289,244
29,1,3,1.667,-0.397297,-0.353716,0.043581,294,281,294,270
0,1,4,1.875,-0.397626,-0.348961,0.048665,335,294,335,294
1,1,2,2.0,-0.4,-0.367213,0.032787,183,168,183,168
46,1,3,1.167,-0.393023,-0.372093,0.02093,169,160,169,160
47,1,4,1.0,-0.2,-0.2,0.0,189,189,135,135
8,1,4,1.625,-0.377358,-0.281509,0.095849,250,197,250,191
9,1,2,2.0,-0.4,-0.380541,0.019459,185,176,185,176
18,1,4,2.0,-0.393689,-0.217961,0.175728,409,333,407,271
19,1,4,2.0,-0.373248,-0.373248,0.0,293,293,293,293
30,1,2,3.0,-0.396774,-0.391935,0.004839,246,243,246,243
