idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
14,1,8,1.5,-0.362206,-0.226221,0.135986,527,430,512,363
15,1,5,2.1,-0.381818,-0.289394,0.092424,252,191,252,191
20,1,8,2.0,-0.388296,-0.351291,0.037005,578,540,570,523
21,1,5,1.5,-0.380786,-0.310917,0.069869,218,178,218,178
18,1,8,1.625,-0.373757,-0.314314,0.059443,470,425,470,408
19,1,5,2.1,-0.388338,-0.291545,0.096793,333,264,333,256
26,1,8,1.812,-0.377778,-0.328736,0.049042,493,457,493,441
27,1,8,1.938,-0.389649,-0.366728,0.022921,527,503,527,499
10,1,8,1.688,-0.39402,-0.350664,0.043355,593,540,593,533
11,1,8,2.0,-0.379878,-0.29126,0.088618,469,402,468,377
4,1,5,1.7,-0.389625,-0.299712,0.089914,338,260,338,260
5,1,5,1.5,-0.394286,-0.345143,0.049143,345,302,345,302
28,1,8,2.0,-0.386897,-0.340517,0.046379,568,520,564,505
29,1,8,1.438,-0.379845,-0.328682,0.051163,490,466,490,442
6,1,8,2.0,-0.377612,-0.301306,0.076306,506,423,506,412
7,1,5,1.8,-0.369231,-0.315077,0.054154,300,256,300,256
38,1,8,2.188,-0.386837,-0.291773,0.095064,529,441,529,417
39,1,8,1.5,-0.344134,-0.320112,0.024022,315,290,311,288
34,1,5,1.8,-0.392157,-0.3507,0.041457,350,320,350,316
35,1,5,1.5,-0.343494,-0.338662,0.004833,245,240,237,233
0,1,5,1.3,-0.356078,-0.337255,0.018824,234,222,230,218
1,1,8,2.0,-0.397375,-0.350525,0.04685,757,708,757,685
48,1,5,1.0,-0.4,-0.39087,0.00913,230,230,230,227
49,1,8,1.0,-0.4,-0.4,0.0,310,310,310,310
32,1,5,2.0,-0.391429,-0.315714,0.075714,411,342,411,336
33,1,8,2.0,-0.374696,-0.236437,0.138259,468,348,465,316
22,1,8,2.0,-0.392271,-0.335266,0.057005,609,545,609,531
23,1,5,1.7,-0.386905,-0.274702,0.112202,325,257,325,242
44,1,8,2.0,-0.386098,-0.341864,0.044234,611,562,611,550
45,1,5,1.0,-0.4,-0.4,0.0,165,165,165,165
46,1,5,1.6,-0.345646,-0.292793,0.052853,307,277,296,258
47,1,5,2.4,-0.374468,-0.302432,0.072036,308,261,308,254
50,1,5,1.5,-0.368354,-0.290717,0.077637,220,216,219,191
51,1,8,1.5,-0.364574,-0.313677,0.050897,410,383,408,364
8,1,5,2.0,-0.386603,-0.320574,0.066029,404,363,404,347
9,1,8,2.062,-0.363923,-0.328021,0.035902,544,519,530,490
36,1,5,1.6,-0.4,-0.29328,0.10672,372,334,372,299
37,1,5,2.2,-0.393978,-0.286452,0.107527,458,340,458,336
52,1,5,2.0,-0.391437,-0.372171,0.019266,320,306,320,305
53,1,5,1.5,-0.375719,-0.299042,0.076677,294,234,294,234
30,1,5,1.5,-0.382609,-0.358333,0.024275,271,249,267,248
31,1,8,1.75,-0.384298,-0.342975,0.041322,465,415,465,415
62,1,8,1.625,-0.303484,-0.278074,0.02541,449,432,404,379
63,1,8,1.5,-0.347475,-0.297727,0.049747,351,300,347,297
40,1,8,2.0,-0.389562,-0.303872,0.08569,582,495,580,470
41,1,5,1.9,-0.380952,-0.35303,0.027922,461,441,449,422
12,1,5,3.0,-0.375803,-0.292628,0.083176,497,457,497,417
13,1,8,2.0,-0.379777,-0.246338,0.133439,619,469,606,422
24,1,5,2.4,-0.39591,-0.316973,0.078937,484,426,484,404
25,1,5,2.0,-0.393301,-0.346411,0.04689,411,362,411,362
58,1,8,1.625,-0.376062,-0.304054,0.072008,501,427,493,408
59,1,8,2.062,-0.363636,-0.313636,0.05,481,437,469,414
56,1,5,1.9,-0.373123,-0.290514,0.082609,243,203,239,192
57,1,5,2.0,-0.394186,-0.336047,0.05814,339,289,339,289
66,1,5,1.8,-0.4,-0.351829,0.048171,328,320,328,302
67,1,8,2.0,-0.378451,-0.286027,0.092424,562,472,562,445
74,1,8,1.0,-0.370752,-0.339554,0.031198,359,359,344,328
75,1,8,2.0,-0.379577,-0.32588,0.053697,539,468,539,465
76,1,8,1.562,-0.390484,-0.296568,0.093916,631,519,628,494
77,1,5,1.5,-0.366265,-0.282329,0.083936,228,188,228,181
84,1,5,1.6,-0.392754,-0.30471,0.088043,271,247,271,226
85,1,8,1.5,-0.354048,-0.315952,0.038095,384,344,377,337
72,1,5,2.0,-0.396364,-0.304318,0.092045,436,368,436,349
73,1,8,2.0,-0.394222,-0.281059,0.113162,614,534,614,479
80,1,8,1.875,-0.389382,-0.268147,0.121236,506,391,505,366
81,1,8,1.562,-0.381628,-0.339302,0.042326,412,391,411,376
88,1,5,1.9,-0.380583,-0.346926,0.033657,294,268,294,268
89,1,8,1.5,-0.380094,-0.28548,0.094614,411,366,408,331
90,1,5,1.5,-0.370306,-0.358079,0.012227,212,205,212,205
91,1,8,2.188,-0.378193,-0.325737,0.052456,483,453,482,431
16,1,8,1.75,-0.392199,-0.300355,0.091844,553,455,553,437
17,1,8,2.062,-0.397097,-0.318723,0.078374,684,598,684,570
68,1,8,2.062,-0.389209,-0.338489,0.050719,541,488,541,478
69,1,5,1.7,-0.359044,-0.320819,0.038225,263,235,263,235
96,1,8,1.0,-0.252013,-0.242617,0.009396,298,298,235,231
97,1,5,2.4,-0.385185,-0.297151,0.088034,338,266,338,263
64,1,5,3.0,-0.397516,-0.355487,0.042029,480,438,480,433
65,1,8,1.688,-0.379752,-0.314463,0.065289,477,447,467,409
102,1,5,1.0,-0.4,-0.4,0.0,152,152,152,152
103,1,8,1.0,-0.349584,-0.310803,0.038781,361,361,335,315
108,1,8,1.0,-0.390244,-0.390244,0.0,287,287,283,283
109,1,5,1.7,-0.3712,-0.3552,0.016,239,222,235,222
98,1,5,2.0,-0.396694,-0.31405,0.082645,240,190,240,190
99,1,5,1.9,-0.398726,-0.362102,0.036624,313,293,313,288
42,1,8,2.5,-0.383203,-0.298698,0.084505,755,661,744,611
43,1,8,2.312,-0.388792,-0.313835,0.074956,555,497,555,469
104,1,5,1.8,-0.4,-0.348387,0.051613,279,243,279,243
105,1,8,1.688,-0.383824,-0.368697,0.015126,462,444,459,441
106,1,5,1.0,-0.4,-0.4,0.0,189,189,189,189
107,1,5,1.7,-0.370029,-0.363112,0.006916,321,315,321,315
92,1,8,2.062,-0.385787,-0.299492,0.086294,570,488,570,462
93,1,8,1.812,-0.366593,-0.292478,0.074115,437,369,424,347
118,1,5,2.1,-0.381232,-0.280645,0.100587,325,241,325,240
119,1,5,3.0,-0.342638,-0.256748,0.08589,288,232,283,219
82,1,5,3.0,-0.399287,-0.295187,0.1041,560,484,560,444
83,1,8,2.312,-0.389457,-0.351473,0.037984,628,600,628,581
120,1,5,2.2,-0.397927,-0.318912,0.079016,384,320,384,313
121,1,8,2.0,-0.38705,-0.308993,0.078058,538,489,538,455
116,1,8,1.875,-0.374256,-0.302452,0.071804,557,521,544,470
117,1,8,1.688,-0.376809,-0.298145,0.078664,527,491,516,440
112,1,5,2.1,-0.364912,-0.34269,0.022222,312,293,312,293
113,1,8,2.188,-0.392857,-0.216607,0.17625,550,459,550,370
54,1,5,3.0,-0.393155,-0.363105,0.03005,594,563,591,552
55,1,8,1.5,-0.34517,-0.333239,0.011932,309,302,306,297
128,1,8,2.0,-0.382375,-0.288697,0.093678,499,431,499,400
129,1,5,2.1,-0.4,-0.352128,0.047872,376,331,376,331
126,1,8,1.0,-0.394757,-0.394757,0.0,267,267,265,265
127,1,8,2.125,-0.372388,-0.293284,0.079104,664,570,641,525
130,1,5,1.6,-0.368439,-0.276744,0.091694,286,217,281,212
131,1,8,1.75,-0.376145,-0.329771,0.046374,498,446,495,438
138,1,8,1.188,-0.364336,-0.358741,0.005594,264,260,262,258
139,1,5,1.5,-0.388732,-0.337324,0.051408,276,250,276,244
132,1,5,2.0,-0.387586,-0.387586,0.0,281,281,281,281
133,1,5,1.9,-0.386992,-0.303252,0.08374,357,327,357,300
134,1,5,1.7,-0.370629,-0.373427,-0.002797,265,267,265,267
135,1,5,1.5,-0.378305,-0.290847,0.087458,279,218,279,216
100,1,8,2.125,-0.382302,-0.241924,0.140378,565,429,560,385
101,1,5,1.5,-0.374026,-0.273052,0.100974,288,247,288,226
140,1,5,1.5,-0.3631,-0.354244,0.008856,246,240,246,240
141,1,8,1.688,-0.389203,-0.352185,0.037018,382,346,380,344
146,1,5,1.5,-0.340611,-0.30393,0.036681,195,174,195,174
147,1,8,1.0,-0.37751,-0.37751,0.0,249,249,241,241
142,1,5,2.0,-0.379348,-0.311957,0.067391,349,287,349,287
143,1,8,1.5,-0.376008,-0.315726,0.060282,468,416,467,402
136,1,8,1.75,-0.393617,-0.319149,0.074468,555,464,555,456
137,1,5,1.7,-0.379822,-0.326409,0.053412,320,275,320,275
110,1,5,2.0,-0.385507,-0.376812,0.008696,266,260,266,260
111,1,8,3.0,-0.382381,-0.358095,0.024286,604,578,603,570
154,1,5,1.7,-0.398635,-0.372696,0.025939,292,280,292,276
155,1,8,1.5,-0.356604,-0.264623,0.091981,378,312,378,294
152,1,5,1.7,-0.347003,-0.331861,0.015142,296,284,284,272
153,1,8,1.75,-0.340955,-0.264322,0.076633,376,312,355,284
158,1,5,1.0,-0.4,-0.4,0.0,189,189,189,189
159,1,8,1.438,-0.394977,-0.322374,0.072603,436,395,434,371
60,1,8,1.0,-0.364765,-0.364765,0.0,298,298,283,283
61,1,8,3.0,-0.377836,-0.298285,0.079551,737,651,725,602
150,1,8,1.875,-0.393115,-0.317869,0.075246,603,511,601,496
151,1,8,1.75,-0.360659,-0.30022,0.06044,412,373,411,355
