idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
24,1,4,1.25,-0.345946,-0.316216,0.02973,128,117,128,117
25,1,2,1.25,-0.367059,-0.315294,0.051765,78,67,78,67
10,1,4,1.25,-0.305263,-0.264115,0.041148,184,173,170,153
11,1,2,1.25,-0.316279,-0.316279,0.0,34,34,34,34
4,1,3,1.25,-0.374194,-0.348387,0.025806,145,135,145,135
5,1,2,1.75,-0.345946,-0.342342,0.003604,96,95,96,95
18,1,3,1.75,-0.390741,-0.30787,0.08287,211,175,211,170
19,1,3,1.25,-0.374603,-0.374603,0.0,118,118,118,118
16,1,2,1.25,-0.354286,-0.32,0.034286,62,56,62,56
17,1,3,1.75,-0.395855,-0.229016,0.166839,191,128,191,118
2,1,6,1.25,-0.362617,-0.305296,0.057321,291,273,291,257
3,1,2,1.25,-0.34321,-0.316049,0.02716,73,64,71,64
6,1,6,1.25,-0.342295,-0.335738,0.006557,261,256,261,256
7,1,4,1.75,-0.3712,-0.296,0.0752,232,185,232,185
14,1,2,1.75,-0.4,-0.230303,0.169697,132,76,132,76
15,1,4,1.75,-0.372318,-0.350173,0.022145,269,253,269,253
26,1,4,1.75,-0.395238,-0.359524,0.035714,332,302,332,302
27,1,2,1.25,-0.331707,-0.317073,0.014634,68,65,68,65
28,1,4,1.75,-0.358242,-0.292308,0.065934,163,133,163,133
29,1,3,1.75,-0.396413,-0.339013,0.057399,221,189,221,189
34,1,6,1.25,-0.332271,-0.307171,0.0251,219,205,213,198
35,1,3,1.25,-0.36391,-0.33985,0.02406,121,113,121,113
38,1,2,1.25,-0.317647,-0.317647,0.0,54,54,54,54
39,1,6,1.25,-0.36507,-0.344789,0.020282,324,306,324,306
42,1,3,1.25,-0.346853,-0.321678,0.025175,124,115,124,115
43,1,2,1.25,-0.35,-0.315,0.035,70,63,70,63
40,1,3,1.25,-0.368098,-0.325153,0.042945,150,143,150,137
41,1,4,1.25,-0.30596,-0.290066,0.015894,133,127,123,117
32,1,2,1.75,-0.352294,-0.341284,0.011009,96,93,96,93
33,1,3,1.75,-0.370552,-0.343558,0.026994,151,140,151,140
36,1,3,1.75,-0.388732,-0.287324,0.101408,207,153,207,153
37,1,4,1.25,-0.39115,-0.333628,0.057522,221,192,221,190
30,1,6,1.25,-0.380524,-0.349064,0.031461,254,247,254,239
31,1,4,1.75,-0.354325,-0.189273,0.165052,256,198,256,163
22,1,3,1.75,-0.391398,-0.374194,0.017204,182,174,182,174
23,1,4,1.75,-0.378462,-0.338462,0.04,246,220,246,220
20,1,6,1.75,-0.36861,-0.29574,0.07287,411,363,411,344
21,1,4,1.75,-0.388929,-0.265714,0.123214,274,186,273,186
54,1,2,1.25,-0.314754,-0.314754,0.0,48,48,48,48
55,1,4,1.25,-0.366337,-0.294554,0.071782,185,168,185,157
0,1,4,1.75,-0.39011,-0.353846,0.036264,355,322,355,322
1,1,6,1.25,-0.369512,-0.318293,0.05122,303,275,303,267
56,1,4,1.25,-0.379429,-0.356571,0.022857,166,156,166,156
57,1,4,1.25,-0.364331,-0.335669,0.028662,143,137,143,134
12,1,6,1.75,-0.386047,-0.267907,0.11814,415,330,415,306
13,1,4,1.75,-0.370809,-0.307225,0.063584,340,285,329,274
8,1,6,1.75,-0.353439,-0.317725,0.035714,334,302,334,301
9,1,6,1.75,-0.37767,-0.31966,0.05801,389,338,389,333
52,1,6,1.25,-0.316479,-0.306742,0.009738,241,231,224,216
53,1,3,1.25,-0.392523,-0.362617,0.029907,210,194,210,194
44,1,6,1.25,-0.348905,-0.326277,0.022628,239,227,239,225
45,1,4,1.75,-0.346018,-0.274779,0.071239,206,178,200,165
48,1,4,1.75,-0.372263,-0.335766,0.036496,255,230,255,230
49,1,2,1.75,-0.32,-0.32,0.0,72,72,72,72
58,1,6,1.25,-0.354011,-0.23984,0.114171,331,303,331,258
59,1,4,1.25,-0.370732,-0.370732,0.0,190,190,190,190
50,1,4,1.75,-0.377273,-0.331439,0.045833,249,224,249,221
51,1,3,1.75,-0.380247,-0.37037,0.009877,154,150,154,150
62,1,6,1.25,-0.378138,-0.341296,0.036842,237,216,235,213
63,1,4,1.25,-0.361069,-0.272137,0.088931,240,208,238,191
70,1,6,1.25,-0.364444,-0.336667,0.027778,246,236,246,231
71,1,4,1.25,-0.337278,-0.337278,0.0,146,146,144,144
46,1,2,1.75,-0.357025,-0.323967,0.033058,108,98,108,98
47,1,4,1.75,-0.383562,-0.358904,0.024658,280,262,280,262
