idx,feasible,V,rho_mean,ref_obj,model_obj,gap,ref_cost,model_cost,ref_cov,model_cov
28,1,2,4.0,-0.4,-0.383838,0.016162,198,190,198,190
29,1,2,4.0,-0.39187,-0.302033,0.089837,241,198,241,191
0,1,2,4.0,-0.4,-0.344186,0.055814,215,185,215,185
1,1,4,4.0,-0.394313,-0.357346,0.036967,416,377,416,377
16,1,2,4.0,-0.385542,-0.293976,0.091566,160,122,160,122
17,1,2,4.0,-0.396825,-0.34127,0.055556,250,222,250,218
2,1,3,4.0,-0.398806,-0.339104,0.059701,334,284,334,284
3,1,2,4.0,-0.398291,-0.329915,0.068376,233,193,233,193
14,1,2,4.0,-0.334483,-0.27931,0.055172,97,81,97,81
15,1,4,4.0,-0.398182,-0.294091,0.104091,438,362,438,340
36,1,2,4.0,-0.4,-0.368333,0.031667,240,221,240,221
37,1,2,4.0,-0.396,-0.316,0.08,198,158,198,158
6,1,4,4.0,-0.4,-0.299773,0.100227,441,348,441,338
7,1,4,4.0,-0.398919,-0.32973,0.069189,369,333,369,317
8,1,3,4.0,-0.39893,-0.368984,0.029947,373,345,373,345
9,1,3,4.0,-0.398933,-0.327733,0.0712,374,351,374,326
40,1,2,4.0,-0.398406,-0.277291,0.121116,250,174,250,174
41,1,2,4.0,-0.392889,-0.364444,0.028444,221,205,221,205
30,1,6,4.0,-0.396396,-0.323724,0.072673,660,595,660,563
31,1,3,4.0,-0.4,-0.34125,0.05875,320,273,320,273
42,1,4,4.0,-0.393059,-0.336226,0.056833,453,391,453,389
43,1,2,4.0,-0.4,-0.377654,0.022346,179,169,179,169
24,1,6,4.0,-0.389325,-0.322763,0.066562,620,528,620,520
25,1,2,4.0,-0.398394,-0.327711,0.070683,248,204,248,204
26,1,6,4.0,-0.395084,-0.327343,0.067742,643,566,643,547
27,1,4,4.0,-0.398034,-0.328993,0.069042,405,340,405,337
34,1,6,4.0,-0.398804,-0.330344,0.06846,667,591,667,569
35,1,2,4.0,-0.398413,-0.331746,0.066667,251,209,251,209
4,1,2,4.0,-0.39814,-0.32,0.07814,214,172,214,172
5,1,3,4.0,-0.398947,-0.383421,0.015526,379,373,379,368
10,1,4,4.0,-0.398234,-0.336645,0.061589,451,411,451,394
11,1,4,4.0,-0.394545,-0.353636,0.040909,434,396,434,392
46,1,2,4.0,-0.396226,-0.366038,0.030189,210,194,210,194
47,1,4,4.0,-0.399007,-0.383127,0.015881,402,386,402,386
