rho,budgets,sumB,obj,cost,cov,overlap,cost_frac,cov_frac,route_lens,solve_s
1.0,"[38, 120, 14]",172,-0.4,172,172,0,1.0,1.0,"[2, 6, 2]",0.5
1.1,"[42, 132, 16]",190,-0.381053,181,181,0,0.9526,0.9526,"[2, 6, 2]",0.2
1.25,"[48, 150, 18]",216,-0.37037,200,200,0,0.9259,0.9259,"[2, 6, 2]",0.2
1.5,"[57, 180, 21]",258,-0.35814,231,231,0,0.8953,0.8953,"[2, 8, 2]",0.3
1.75,"[67, 210, 25]",302,-0.380132,287,287,0,0.9503,0.9503,"[4, 10, 2]",0.4
2.0,"[76, 240, 28]",344,-0.365116,314,314,0,0.9128,0.9128,"[4, 8, 2]",0.6
2.5,"[95, 300, 35]",430,-0.378605,407,407,0,0.9465,0.9465,"[6, 10, 2]",1.0
3.0,"[114, 333, 42]",489,-0.368098,450,450,0,0.9202,0.9202,"[6, 10, 2]",1.1
4.0,"[152, 333, 56]",541,-0.367468,497,497,0,0.9187,0.9187,"[8, 10, 2]",1.2
6.0,"[228, 333, 84]",645,-0.388217,626,626,0,0.9705,0.9705,"[8, 12, 4]",1.4
99.0,"[333, 333, 334]",1000,-0.3996,999,999,0,0.999,0.999,"[10, 12, 10]",3.0
