rho,budgets,sumB,obj,cost,cov,overlap,cost_frac,cov_frac,route_lens,solve_s
1.0,"[38, 61, 14]",113,-0.4,113,113,0,1.0,1.0,"[2, 8, 2]",1.5
1.1,"[42, 68, 16]",126,-0.380952,120,120,0,0.9524,0.9524,"[2, 6, 2]",0.1
1.25,"[48, 77, 18]",143,-0.386014,138,138,0,0.965,0.965,"[6, 10, 2]",0.1
1.5,"[57, 92, 21]",170,-0.36,153,153,0,0.9,0.9,"[6, 8, 2]",0.2
1.75,"[67, 107, 25]",199,-0.371859,185,185,0,0.9296,0.9296,"[6, 12, 2]",0.2
2.0,"[76, 122, 28]",226,-0.375221,212,212,0,0.9381,0.9381,"[8, 12, 2]",0.4
2.5,"[95, 130, 35]",260,-0.367692,239,239,0,0.9192,0.9192,"[10, 14, 2]",0.5
3.0,"[114, 130, 42]",286,-0.395804,283,283,0,0.9895,0.9895,"[10, 14, 4]",0.5
4.0,"[130, 130, 56]",316,-0.379747,300,300,0,0.9494,0.9494,"[12, 12, 4]",0.6
6.0,"[130, 130, 84]",344,-0.4,344,344,0,1.0,1.0,"[12, 12, 10]",0.9
99.0,"[130, 130, 131]",391,-0.4,391,391,0,1.0,1.0,"[12, 12, 10]",2.8
