rho,budgets,sumB,obj,cost,cov,overlap,cost_frac,cov_frac,route_lens,solve_s
1.0,"[26, 45, 25]",96,-0.4,96,96,0,1.0,1.0,"[2, 6, 2]",0.3
1.1,"[29, 50, 28]",107,-0.370093,99,99,0,0.9252,0.9252,"[2, 8, 2]",0.0
1.25,"[33, 57, 32]",122,-0.354098,108,108,0,0.8852,0.8852,"[2, 8, 2]",0.0
1.5,"[39, 68, 38]",145,-0.353103,128,128,0,0.8828,0.8828,"[2, 6, 4]",0.1
1.75,"[46, 79, 44]",169,-0.369231,156,156,0,0.9231,0.9231,"[4, 8, 4]",0.1
2.0,"[52, 90, 50]",192,-0.389583,187,187,0,0.974,0.974,"[4, 12, 4]",0.2
2.5,"[65, 113, 63]",241,-0.395021,238,238,0,0.9876,0.9876,"[6, 6, 6]",0.2
3.0,"[78, 123, 75]",276,-0.395652,273,273,0,0.9891,0.9891,"[6, 14, 8]",0.3
4.0,"[104, 123, 100]",327,-0.393884,322,322,0,0.9847,0.9847,"[10, 8, 10]",0.4
6.0,"[123, 123, 124]",370,-0.394595,365,365,0,0.9865,0.9865,"[12, 10, 16]",2.2
99.0,"[123, 123, 124]",370,-0.394595,365,365,0,0.9865,0.9865,"[12, 10, 16]",2.2
